Pose/Time (ns),Pose 1: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,Pose 2: PersScore 0.277 PoseScore 2.633 DockingScore -14.718
0,1.30E-08,1.30E-08
0.001,0.212928541,0.194261703
0.002,0.241549466,0.202468634
0.003,0.266579867,0.259818739
0.004,0.288746569,0.261266916
0.005,0.295882489,0.266956684
0.006,0.297214417,0.268440627
0.007,0.298505933,0.27026566
0.008,0.29988636,0.282212346
0.009,0.310740761,0.299067952
0.01,0.312210941,0.309459097
0.011,0.317758545,0.31877834
0.012,0.33170593,0.320102338
0.013,0.333055899,0.323730973
0.014,0.334328409,0.325071055
0.015,0.335488655,0.325736268
0.016,0.336944876,0.343943507
0.017,0.338060548,0.345601484
0.018,0.339818739,0.350061205
0.019,0.341484615,0.373094834
0.02,0.343121325,0.37418776
0.021,0.34742689,0.37500077
0.022,0.348842343,0.376317002
0.023,0.349971318,0.382438734
0.024,0.35104208,0.390695213
0.025,0.352741423,0.396539883
0.026,0.354349355,0.397671012
0.027,0.355901505,0.403784192
0.028,0.357399315,0.409597545
0.029,0.358652155,0.410264972
0.03,0.362903485,0.411078144
0.031,0.364373394,0.412217799
0.032,0.365724033,0.41314078
0.033,0.394525347,0.436125961
0.034,0.398152612,0.43670524
0.035,0.398388531,0.447877465
0.036,0.39940113,0.45483025
0.037,0.400338227,0.461906443
0.038,0.400666306,0.463126608
0.039,0.401555852,0.464085342
0.04,0.413558002,0.46489347
0.041,0.414575465,0.46589611
0.042,0.414955013,0.467078148
0.043,0.415860807,0.468254108
0.044,0.416232326,0.469342564
0.045,0.424470842,0.472254273
0.046,0.425599912,0.472626343
0.047,0.426970505,0.473679984
0.048,0.428155978,0.474235557
0.049,0.429385134,0.475670496
0.05,0.430186593,0.476192208
0.051,0.430991235,0.47680747
0.052,0.431691498,0.477750366
0.053,0.432364615,0.478678003
0.054,0.433433288,0.487175803
0.055,0.434003038,0.487580787
0.056,0.434583589,0.48823594
0.057,0.43550034,0.489082818
0.058,0.436425245,0.505364188
0.059,0.437143444,0.506556156
0.06,0.437984635,0.507401106
0.061,0.438704375,0.508135168
0.062,0.449582692,0.508904007
0.063,0.450646636,0.509829486
0.064,0.451489784,0.510323161
0.065,0.453720582,0.511194493
0.066,0.454797667,0.512259032
0.067,0.455661029,0.512658315
0.068,0.457685768,0.513325518
0.069,0.458967583,0.513944224
0.07,0.459838254,0.514584649
0.071,0.460411639,0.515343328
0.072,0.460749366,0.516537697
0.073,0.470199077,0.5175599
0.074,0.470681776,0.518490842
0.075,0.470987841,0.519411295
0.076,0.471651415,0.520373688
0.077,0.472081723,0.521333025
0.078,0.472878007,0.522355911
0.079,0.473761037,0.522958337
0.08,0.474307158,0.523963303
0.081,0.474977845,0.524876586
0.082,0.474951864,0.525198074
0.083,0.475194134,0.526399095
0.084,0.475750433,0.540940856
0.085,0.476210721,0.542281141
0.086,0.476872537,0.542932031
0.087,0.477366639,0.543774775
0.088,0.478344113,0.544004177
0.089,0.479125971,0.544725997
0.09,0.47983682,0.545503993
0.091,0.48038978,0.546300804
0.092,0.480821078,0.546733971
0.093,0.481440148,0.547156491
0.094,0.482202175,0.548104296
0.095,0.482558565,0.548923992
0.096,0.482793706,0.550170156
0.097,0.483409785,0.551170382
0.098,0.483911288,0.552393508
0.099,0.484422365,0.55320712
0.1,0.485133145,0.554132437
0.101,0.4874786,0.555067251
0.102,0.490150445,0.555715096
0.103,0.490793863,0.556988858
0.104,0.491368969,0.55794152
0.105,0.492155534,0.559471484
0.106,0.494013565,0.560804144
0.107,0.494620077,0.561877235
0.108,0.495240092,0.562454235
0.109,0.4956896,0.563194175
0.11,0.496073246,0.56548274
0.111,0.496641677,0.572674257
0.112,0.497610071,0.573539852
0.113,0.497958803,0.574377319
0.114,0.498158619,0.57570927
0.115,0.498712556,0.576390866
0.116,0.499182307,0.581742313
0.117,0.499869016,0.582306447
0.118,0.500423456,0.582311881
0.119,0.501297821,0.582793422
0.12,0.502205175,0.584620505
