Pose/Time (ns),Pose  1: PersScore 0.024 PoseScore 3.319 DockingScore -9.735,Pose  2: PersScore 0.161 PoseScore 4.181 DockingScore -7.816,Pose  3: PersScore 0.173 PoseScore 5.331 DockingScore -5.486,Pose  4: PersScore 0.170 PoseScore 6.607 DockingScore -5.076
0,9.46E-09,9.80E-09,1.06E-08,9.86E-09
0.001,0.240402344,0.22028229,0.285851773,0.241222059
0.002,0.279562621,0.307907171,0.316855425,0.2728116
0.003,0.334605081,0.367721384,0.360499647,0.311041171
0.004,0.358365641,0.384511722,0.372691847,0.332794889
0.005,0.379483043,0.385792552,0.373614304,0.372186285
0.006,0.381184999,0.387221044,0.373996877,0.39004883
0.007,0.391697247,0.414763343,0.374693561,0.416703523
0.008,0.410591521,0.423417489,0.386094183,0.417734144
0.009,0.428493098,0.425027161,0.386795081,0.418875044
0.01,0.447371254,0.426602732,0.407979993,0.420803769
0.011,0.465479881,0.427419317,0.409102799,0.432932473
0.012,0.46689032,0.428497232,0.420580566,0.444266657
0.013,0.486708373,0.42979369,0.421178222,0.446363959
0.014,0.528519169,0.472938874,0.422863685,0.448565008
0.015,0.579307419,0.47478644,0.440730969,0.458622584
0.016,0.580821677,0.492395068,0.442400869,0.459902735
0.017,0.588477768,0.493654787,0.463540672,0.472701737
0.018,0.60374307,0.49531971,0.464615285,0.473680188
0.019,0.616788268,0.526952151,0.466436639,0.474218249
0.02,0.624249986,0.539338768,0.476075636,0.475304805
0.021,0.625432172,0.540711022,0.477587881,0.476185068
0.022,0.658055631,0.547803719,0.493457884,0.476728279
0.023,0.671860296,0.566332275,0.494736681,0.477777656
0.024,0.673037401,0.567648533,0.496465039,0.478368105
0.025,0.693744663,0.568776925,0.497406061,0.479411073
0.026,0.696245276,0.569865734,0.497718763,0.480396646
0.027,0.697647955,0.571200179,0.498285572,0.481817142
0.028,0.706266954,0.572435631,0.499296791,0.482657724
0.029,0.707421377,0.586236011,0.506065339,0.483533143
0.03,0.708140344,0.587035257,0.506981868,0.484374933
0.031,0.709136122,0.588299575,0.532372045,0.485532251
0.032,0.710135289,0.590111635,0.539512814,0.486289394
0.033,0.711286791,0.591502327,0.540992797,0.486826549
0.034,0.712711972,0.593259358,0.542241378,0.487412625
0.035,0.713473625,0.598663957,0.543640265,0.497687884
0.036,0.714492009,0.600137709,0.544403345,0.498469734
0.037,0.715524821,0.608928934,0.545298078,0.508887675
0.038,0.7166593,0.610192136,0.546420779,0.518283645
0.039,0.717580291,0.612434074,0.547818275,0.518804264
0.04,0.718117506,0.61420742,0.548122462,0.538088841
0.041,0.73734358,0.632233894,0.548934458,0.539149145
0.042,0.738025267,0.634045681,0.550340303,0.539705263
0.043,0.739057993,0.635564828,0.551567868,0.54128106
0.044,0.739757203,0.636523426,0.552380277,0.543423088
0.045,0.740074508,0.650568297,0.553148616,0.559843422
0.046,0.740883026,0.651983519,0.554259301,0.56018503
0.047,0.749150873,0.653220217,0.554832097,0.561276904
0.048,0.749856707,0.655025025,0.556744717,0.571142961
0.049,0.750290826,0.655981118,0.562724019,0.571888155
0.05,0.751552241,0.657003312,0.564110884,0.586252879
0.051,0.752128662,0.658331171,0.565484283,0.587513855
0.052,0.752682596,0.670562225,0.566075811,0.587874443
0.053,0.752892549,0.671371793,0.573322139,0.589231347
0.054,0.753054371,0.672129401,0.574684918,0.58983372
0.055,0.754291251,0.673542987,0.581642832,0.610145413
0.056,0.75535212,0.674137911,0.583434367,0.611227502
0.057,0.756260772,0.675037171,0.584755607,0.619449761
0.058,0.764238459,0.675553762,0.585744279,0.627562796
0.059,0.771766807,0.676553545,0.586912281,0.628399553
0.06,0.779534233,0.677691451,0.588028533,0.629565685
0.061,0.780537605,0.678601585,0.588782855,0.631027111
0.062,0.789122171,0.690685968,0.596082542,0.6321508
0.063,0.797409689,0.692133759,0.597163811,0.632772961
0.064,0.798099536,0.692833381,0.598179733,0.634043152
0.065,0.79882582,0.694141622,0.59933244,0.635070798
0.066,0.800031277,0.69496303,0.600853204,0.636688731
0.067,0.801096088,0.695820178,0.601652281,0.637403926
0.068,0.801937378,0.696275015,0.602786252,0.638090541
0.069,0.802725817,0.696475628,0.60421916,0.639091314
0.07,0.804063767,0.696610765,0.605002346,0.640162656
0.071,0.804490617,0.703192246,0.606437726,0.64077575
0.072,0.805749612,0.70350645,0.608083504,0.6417838
0.073,0.806564589,0.713598841,0.616457591,0.642601296
0.074,0.807797485,0.714131986,0.618352545,0.643429021
0.075,0.808863974,0.714810175,0.61950417,0.64386614
0.076,0.809493489,0.716163378,0.621019437,0.644762294
0.077,0.810095981,0.716874651,0.622231321,0.645405893
0.078,0.810704603,0.71759176,0.623569523,0.645531006
0.079,0.811493683,0.71847421,0.624490707,0.646328026
0.08,0.812431023,0.719507654,0.626358849,0.647320641
0.081,0.814020231,0.719933438,0.627339292,0.647795603
0.082,0.814954994,0.720241236,0.628112081,0.648590074
0.083,0.815932146,0.721176032,0.635129855,0.649650184
0.084,0.840423772,0.72187926,0.635864422,0.651338993
0.085,0.841684197,0.72260175,0.636852388,0.65215531
0.086,0.842163095,0.723754921,0.638418586,0.652509744
0.087,0.842844534,0.724752751,0.639460509,0.653746203
0.088,0.844136032,0.73052997,0.661123615,0.654925646
0.089,0.844922705,0.731268758,0.662749338,0.655153767
0.09,0.864489646,0.737127663,0.678672871,0.655615263
0.091,0.865468238,0.744014238,0.680480337,0.656712966
0.092,0.866049821,0.750317703,0.681244109,0.657313157
0.093,0.867575935,0.751522753,0.683330789,0.678005182
0.094,0.868421482,0.761336054,0.684192437,0.679850045
0.095,0.869126227,0.762037593,0.693823752,0.68023402
0.096,0.870330773,0.762736419,0.702496709,0.681166759
0.097,0.870687949,0.764172394,0.704192221,0.681805974
0.098,0.871663933,0.765166327,0.704999572,0.682719864
0.099,0.872650356,0.766766264,0.706444929,0.683363264
0.1,0.873265533,0.782500308,0.707948908,0.684154366
0.101,0.873801194,0.783417786,0.709154912,0.6851848
0.102,0.874680231,0.790415811,0.709841772,0.686004272
0.103,0.875481123,0.791952345,0.710450532,0.68643551
0.104,0.876674358,0.79281643,0.71171807,0.693451852
0.105,0.877726219,0.797140621,0.71325056,0.694540633
0.106,0.878706527,0.798251564,0.713872865,0.695680081
0.107,0.879827639,0.799400752,0.715075476,0.696779335
0.108,0.880785148,0.800180967,0.715494339,0.697904281
0.109,0.881723652,0.800719622,0.716508053,0.698840021
0.11,0.883302161,0.801468607,0.717669997,0.699966652
0.111,0.884025465,0.805339749,0.718760016,0.700530873
0.112,0.892566157,0.806322736,0.720139474,0.70116928
0.113,0.894409757,0.806905921,0.721353359,0.70210675
0.114,0.895362648,0.811350253,0.722276974,0.702586156
0.115,0.896660927,0.811819378,0.723282321,0.704440894
0.116,0.898261825,0.812928668,0.72383436,0.704715495
0.117,0.899929277,0.821002003,0.724929464,0.706118584
0.118,0.900914548,0.821536706,0.726079749,0.707236031
0.119,0.902040899,0.822057444,0.726716462,0.708019643
0.12,0.9033088,0.822916188,0.727509958,0.709577987
0.121,0.910890101,0.823917591,0.728222694,0.710997982
0.122,0.912021577,0.824581585,0.72939963,0.711510913
0.123,0.913135896,0.825119517,0.734302097,0.712124613
0.124,0.914005132,0.825681366,0.734698582,0.713430209
0.125,0.914960385,0.826225904,0.739361326,0.714507294
0.126,0.916028635,0.826464177,0.740812117,0.715469229
0.127,0.937096365,0.826884067,0.741652431,0.717244602
0.128,0.938051118,0.827869921,0.742382379,0.718264698
0.129,0.939473538,0.828566653,0.743324382,0.719939371
0.13,0.940601252,0.829233231,0.744357976,0.721296249
0.131,0.941751365,0.829932155,0.745105819,0.726854256
0.132,0.94312341,0.831131637,0.754186124,0.727665252
0.133,0.94487974,0.832356043,0.762414451,0.728649165
0.134,0.946052019,0.833159608,0.770978879,0.729196628
0.135,0.94682703,0.834069857,0.772388796,0.730595374
0.136,0.948432905,0.834919954,0.783281721,0.732036481
0.137,0.949601149,0.835554095,0.78452349,0.733337201
0.138,0.95103075,0.836210376,0.785787807,0.734298291
0.139,0.951606822,0.837131446,0.786475893,0.735319235
0.14,0.952431999,0.838378159,0.78770779,0.736433676
0.141,0.957230504,0.839241302,0.788455935,0.73713754
0.142,0.958277296,0.84029426,0.788986696,0.738009388
0.143,0.958756655,0.840722157,0.789869991,0.73946588
0.144,0.959822485,0.842150003,0.791023135,0.739827068
0.145,0.961220191,0.842976733,0.79217337,0.740977651
0.146,0.962392264,0.843672913,0.792932426,0.741995349
0.147,0.963443197,0.849039641,0.793581169,0.74650419
0.148,0.969061538,0.849712557,0.79496482,0.747326275
0.149,0.970471836,0.85076066,0.800177523,0.748263503
0.15,0.976132686,0.851603341,0.801021766,0.748604237
0.151,0.977843872,0.853063193,0.801921457,0.748988127
0.152,0.979655128,0.862290015,0.802610091,0.749177908
0.153,0.991768112,0.877000051,0.803614465,0.756285402
0.154,0.998825538,0.87815269,0.803985485,0.756717102
0.155,1.019125628,0.8793488,0.804579341,0.763039992
0.156,1.024748714,0.885617527,0.805525947,0.768731005
0.157,1.02647703,0.886441013,0.806203072,0.769807973
0.158,1.027161477,0.887007575,0.806366903,0.770439701
0.159,1.028524463,0.887630933,0.807684612,0.776816107
0.16,1.029130177,0.888170946,0.808413525,0.776939815
0.161,1.029777331,0.889512758,0.809857028,0.77773949
0.162,1.031095362,0.890627588,0.810762577,0.778229483
0.163,1.032115497,0.891097073,0.811248902,0.778428506
0.164,1.033155878,0.911014342,0.811978419,0.778378958
0.165,1.035169117,0.91168693,0.812448637,0.779841832
0.166,1.03610046,0.912781145,0.813158973,0.780998182
0.167,1.037296194,0.91318942,0.813789653,0.781553705
0.168,1.04495235,0.913899912,0.814825892,0.782326817
0.169,1.04553489,0.914288782,0.815269601,0.783788947
0.17,1.046714264,0.914920179,0.815441836,0.784327446
0.171,1.048487157,0.915836457,0.816733527,0.792598435
0.172,1.049885385,0.916696683,0.817474922,0.793272201
0.173,1.050996967,0.917798517,0.818628899,0.794662326
0.174,1.052366078,0.919032192,0.819632577,0.795968549
0.175,1.053057216,0.919792511,0.825721184,0.80788861
0.176,1.053763744,0.920436691,0.826871659,0.808757122
0.177,1.054253466,0.920797849,0.82772652,0.809152773
0.178,1.055679664,0.921118211,0.82900109,0.810205594
0.179,1.056738848,0.921453908,0.830503215,0.81094053
0.18,1.063883884,0.921823274,0.831543567,0.811320648
0.181,1.064483292,0.922035624,0.832749202,0.811885247
0.182,1.065310959,0.922404207,0.833387415,0.81334904
0.183,1.066070446,0.923345224,0.833911447,0.819643815
0.184,1.066552571,0.924426765,0.83475881,0.821097553
0.185,1.067572396,0.925680115,0.835633449,0.827203048
0.186,1.068293992,0.926547057,0.836650868,0.828398208
0.187,1.069476214,0.927081455,0.837294688,0.829576691
0.188,1.070292435,0.927701904,0.838127097,0.830320212
0.189,1.071386388,0.928095087,0.839056789,0.836944468
0.19,1.072948116,0.928815976,0.840195079,0.843656436
0.191,1.074405283,0.929738778,0.840573785,0.850064486
0.192,1.074916883,0.930342336,0.841486348,0.851077235
0.193,1.075949769,0.931352728,0.842630585,0.857586244
0.194,1.076538622,0.938355431,0.843537125,0.858137132
0.195,1.077185799,0.939296737,0.844289262,0.858816812
0.196,1.077731295,0.94062123,0.844875824,0.859673617
0.197,1.086025148,0.941833372,0.845532484,0.860580712
0.198,1.08710167,0.94302713,0.845733751,0.867772603
0.199,1.087853785,0.943690717,0.846147867,0.868448866
0.2,1.087967782,0.944406349,0.846820046,0.869013276
0.201,1.088550452,0.94504687,0.847081001,0.870127402
0.202,1.088656132,0.945657383,0.846947641,0.870751051
0.203,1.089279771,0.946372075,0.847130111,0.871848457
0.204,1.090020227,0.946849422,0.847346307,0.872451739
0.205,1.090447094,0.948071064,0.847635236,0.874281446
0.206,1.091022689,0.949310021,0.847807343,0.87557494
0.207,1.092111469,0.949817726,0.84773958,0.876261138
0.208,1.092674146,0.950044019,0.847471415,0.877719629
0.209,1.09411259,0.950510511,0.848000501,0.883702607
0.21,1.09496004,0.954178539,0.848526332,0.884443446
0.211,1.101055892,0.954506556,0.848926357,0.884833594
0.212,1.101285252,0.95492692,0.849286947,0.885132375
0.213,1.102468691,0.955339039,0.849304692,0.885402721
0.214,1.11245415,0.956292675,0.849608578,0.886159622
0.215,1.113520322,0.957168824,0.850150422,0.886136398
0.216,1.114202607,0.958019119,0.850224365,0.886552941
0.217,1.114922976,0.958816325,0.850830207,0.88710707
0.218,1.116109215,0.960250437,0.850980383,0.887307472
0.219,1.117486686,0.961596163,0.85109599,0.893133168
0.22,1.118933661,0.96273785,0.851617059,0.893401027
0.221,1.120414914,0.963808959,0.85212306,0.893889504
0.222,1.121765913,0.964272177,0.852702831,0.895301919
0.223,1.122691782,0.965089046,0.85292647,0.896400421
0.224,1.123550574,0.966092946,0.85331086,0.897585104
0.225,1.124462867,0.967145211,0.859237289,0.898873645
0.226,1.126000054,0.967891237,0.859596396,0.899184375
0.227,1.127122441,0.968215715,0.860030607,0.89995598
0.228,1.128323852,0.969403471,0.860227769,0.900473858
0.229,1.128954305,0.970862086,0.860498415,0.901225559
0.23,1.129565086,0.972095477,0.860530012,0.901703049
0.231,1.129688287,0.973395115,0.860742093,0.902853249
0.232,1.130243667,0.97417612,0.861000633,0.90354005
0.233,1.131268073,0.97542084,0.861240925,0.904185903
0.234,1.132357835,0.975964665,0.861769305,0.905633603
0.235,1.133405943,0.976393737,0.86231522,0.906744898
0.236,1.138764312,0.977205531,0.862274436,0.907277614
0.237,1.139605932,0.977780888,0.862336106,0.908303154
0.238,1.140479853,0.995433017,0.86259475,0.908676189
0.239,1.141407941,0.996164551,0.863087493,0.909356315
0.24,1.142401398,0.997132558,0.863774261,0.910136736
0.241,1.143366616,0.998093898,0.864723024,0.910631981
0.242,1.144164591,1.003650705,0.864842239,0.911967979
0.243,1.144979855,1.009187936,0.864821428,0.912047998
0.244,1.145850382,1.010256533,0.865279039,0.912295312
0.245,1.146996552,1.011300324,0.86633099,0.913256487
0.246,1.147231463,1.01235037,0.867245227,0.913942641
0.247,1.148318886,1.012953883,0.867791276,0.914462109
0.248,1.149352354,1.013417214,0.868468519,0.915037018
0.249,1.149774899,1.013788933,0.875550802,0.91589509
0.25,1.150543385,1.0143333,0.875858211,0.919721272
0.251,1.150785378,1.015367649,0.876783283,0.920092886
0.252,1.151013559,1.016002259,0.877410567,0.920919518
0.253,1.151671309,1.020953524,0.877777705,0.921341285
0.254,1.15284838,1.021889487,0.878095597,0.921624602
0.255,1.156645424,1.022449584,0.878774209,0.922173758
0.256,1.159939272,1.0232248,0.879515704,0.922275475
0.257,1.1607138,1.023834969,0.880576948,0.925907268
0.258,1.161821448,1.02429233,0.881323278,0.925938267
0.259,1.163194126,1.025008767,0.882154307,0.92687066
0.26,1.169310786,1.025502413,0.882560424,0.927680725
0.261,1.169750279,1.026368779,0.883224531,0.928862679
0.262,1.171273938,1.027179082,0.883677762,0.929391123
0.263,1.171830988,1.02792394,0.884255143,0.929768489
0.264,1.171988011,1.028615209,0.885028897,0.930697597
0.265,1.172148982,1.029579627,0.885322503,0.931656328
0.266,1.172746806,1.030033272,0.885666204,0.932525631
0.267,1.173158502,1.030773938,0.886633731,0.932616312
0.268,1.173929346,1.031842503,0.88745914,0.933164942
0.269,1.174549234,1.035973943,0.887746925,0.933912514
0.27,1.175174714,1.036443698,0.889048598,0.934340846
0.271,1.176174429,1.036937509,0.889902107,0.934694124
0.272,1.176702832,1.040005643,0.890467035,0.93570644
0.273,1.177188287,1.040820569,0.891242167,0.935723976
0.274,1.178094162,1.041261862,0.892270346,0.936049022
0.275,1.178762325,1.041955541,0.893233338,0.936171631
0.276,1.179775449,1.042395858,0.893699614,0.936816662
0.277,1.179575331,1.042957574,0.894463695,0.937618537
0.278,1.179674297,1.043767003,0.895434527,0.93789119
0.279,1.179742723,1.044364801,0.895866465,0.938146688
0.28,1.180261159,1.04469464,0.896351076,0.938058177
0.281,1.180369868,1.045166224,0.897694087,0.938241434
0.282,1.180744867,1.045892238,0.899687921,0.938718044
0.283,1.181239049,1.046413348,0.9001567,0.938682399
0.284,1.181906475,1.046672592,0.900988722,0.93895458
0.285,1.182466243,1.047268459,0.901738934,0.93910174
0.286,1.182563123,1.048477246,0.902368019,0.939276407
0.287,1.182694694,1.048995061,0.907608646,0.939733618
0.288,1.183117528,1.057465733,0.912564563,0.940078974
0.289,1.183668471,1.057900197,0.913071275,0.940231097
0.29,1.184183234,1.058108588,0.913850286,0.940653783
0.291,1.184443744,1.058935474,0.914638444,0.94089819
0.292,1.185031672,1.059444294,0.915471702,0.94169004
0.293,1.185456887,1.059873211,0.91613743,0.942412583
0.294,1.185913502,1.060498446,0.91685775,0.943560831
0.295,1.186168373,1.060842676,0.917368819,0.944826279
0.296,1.186524335,1.06187298,0.918410951,0.945116874
0.297,1.187228964,1.062716243,0.919323057,0.946388943
0.298,1.18794267,1.063572585,0.925212806,0.947008474
0.299,1.188388506,1.064037318,0.926022209,0.947635034
0.3,1.189336066,1.06517886,0.926702819,0.948435057
0.301,1.189918137,1.069989238,0.93133535,0.948703077
0.302,1.190736309,1.070524806,0.936757121,0.949619836
0.303,1.19155169,1.078946134,0.937266915,0.949773797
0.304,1.192553107,1.07986115,0.940195692,0.950040147
0.305,1.192948303,1.080629035,0.941208422,0.950355586
0.306,1.193787698,1.081280715,0.941682421,0.950721027
0.307,1.194326624,1.082063648,0.942151789,0.95107375
0.308,1.194920306,1.082517734,0.942703433,0.954773714
0.309,1.195869802,1.083497722,0.943074942,0.955059906
0.31,1.196244139,1.084047104,0.943534205,0.956093204
0.311,1.197082571,1.08511763,0.943882778,0.956388224
0.312,1.198280221,1.085742447,0.944348442,0.957129425
0.313,1.198697088,1.086644748,0.945197655,0.957939819
0.314,1.199759191,1.087826651,0.94587055,0.958527285
0.315,1.204006254,1.088527549,0.946194227,0.959260507
0.316,1.204400861,1.089023431,0.94675157,0.960289681
0.317,1.2106821,1.089428078,0.947041951,0.976254893
0.318,1.218357669,1.090149953,0.947397694,0.977338507
0.319,1.219369362,1.090362421,0.94770711,0.978549249
0.32,1.220383251,1.09086684,0.948091018,0.979430292
0.321,1.221028826,1.091420975,0.949087621,0.980510252
0.322,1.221708748,1.092061397,0.949921745,0.981402206
0.323,1.222137287,1.092510549,0.95303362,0.982147703
0.324,1.222581866,1.092864322,0.953267945,0.982612603
0.325,1.22329213,1.093435846,0.95373336,0.983746564
0.326,1.223915131,1.094179961,0.954335374,0.984641994
0.327,1.225170489,1.094760322,0.954777801,0.98472575
0.328,1.225593873,1.095319456,0.954904991,0.985394761
0.329,1.226252259,1.095533337,0.955487493,0.986100951
0.33,1.226588583,1.095899161,0.955735586,0.986959241
0.331,1.226728408,1.096325088,0.956250179,0.98816733
0.332,1.227181826,1.097007653,0.957081465,0.989125705
0.333,1.2276348,1.097642645,0.957679145,0.99010342
0.334,1.227646238,1.097698801,0.958150826,0.990721216
0.335,1.228537414,1.098090931,0.958750931,0.991869159
0.336,1.228709569,1.098436163,0.959404013,0.992892983
0.337,1.229032719,1.099068301,0.960185579,0.994067328
0.338,1.229642275,1.09953586,0.960868311,0.994563643
0.339,1.230139654,1.100259774,0.961441767,0.995097004
0.34,1.230732888,1.100554149,0.964209584,0.995667306
0.341,1.231818974,1.101107199,0.971732919,0.995936548
0.342,1.233084063,1.105152508,0.972220484,1.000674403
0.343,1.234716273,1.105735701,0.972584666,1.001746455
0.344,1.236210509,1.106092635,0.973214102,1.006222332
0.345,1.23671761,1.106628477,0.973695482,1.006697981
0.346,1.237185125,1.107341961,0.974070839,1.007064442
0.347,1.241163429,1.107481831,0.975342475,1.007263454
0.348,1.245122409,1.115535824,0.975908934,1.008066739
0.349,1.245886101,1.115787449,0.977009564,1.008690821
0.35,1.246351074,1.115745479,0.97789723,1.00945987
0.351,1.247611181,1.123408188,0.981081044,1.010079699
0.352,1.248425574,1.123737761,0.981501258,1.011209276
0.353,1.24877969,1.124423701,0.982372142,1.012060144
0.354,1.249496948,1.124485798,0.983062461,1.012514811
0.355,1.25026862,1.13703414,0.984010441,1.013536034
0.356,1.250634983,1.137324349,0.987035683,1.014419529
0.357,1.251129694,1.137948179,0.987782045,1.015285564
0.358,1.252007467,1.138690409,0.988345783,1.016630273
0.359,1.252392957,1.139355747,0.99172649,1.017741826
0.36,1.252765114,1.140033184,0.992228465,1.018820504
0.361,1.252918553,1.140599971,0.992706017,1.019474052
0.362,1.253064719,1.140808261,0.993372683,1.020379907
0.363,1.253535611,1.141199153,0.996458821,1.021219674
0.364,1.254145712,1.141704262,0.996624509,1.021807115
0.365,1.254832455,1.142011951,0.996886479,1.022660461
0.366,1.255738318,1.142732982,0.997486262,1.023227518
0.367,1.25667518,1.142886716,0.99764313,1.024626773
0.368,1.257414712,1.143218762,0.997946766,1.02513793
0.369,1.257911005,1.147756186,1.004574778,1.026182537
0.37,1.258360922,1.14828031,1.005032952,1.027688806
0.371,1.259197379,1.148781262,1.005334544,1.028846433
0.372,1.259469974,1.149174536,1.005947561,1.029525739
0.373,1.26027904,1.149785022,1.006477482,1.030141251
0.374,1.260737921,1.150597531,1.006939662,1.030543445
0.375,1.266441429,1.150897221,1.007591461,1.031171045
0.376,1.267036257,1.151837686,1.008045298,1.031512608
0.377,1.267830919,1.152095976,1.008595092,1.032521644
0.378,1.268677364,1.152619378,1.008984431,1.033130724
0.379,1.269233239,1.169648699,1.009379873,1.034195736
0.38,1.269956048,1.170267285,1.010648435,1.034892629
0.381,1.270112525,1.170611976,1.012027675,1.035833903
0.382,1.270785786,1.171444903,1.012611765,1.039921922
0.383,1.271693151,1.172278605,1.015029796,1.04052968
0.384,1.272145415,1.173120839,1.015519022,1.041534041
0.385,1.272532318,1.173953244,1.015997328,1.042712137
0.386,1.273168654,1.174304186,1.020492805,1.043290256
0.387,1.273457119,1.174257787,1.021162906,1.044028952
0.388,1.273831603,1.174540119,1.022267838,1.044476074
0.389,1.277016006,1.174876631,1.022962693,1.045781275
0.39,1.277980595,1.175137219,1.0236441,1.04665145
0.391,1.278636095,1.175530843,1.024239463,1.049042981
0.392,1.279431704,1.175496104,1.024845173,1.051717332
0.393,1.280087559,1.184434942,1.025300479,1.052527792
0.394,1.283376915,1.184790956,1.026259409,1.05416672
0.395,1.283934441,1.185104996,1.027372606,1.055437619
0.396,1.285197976,1.185507014,1.028172806,1.056463066
0.397,1.285689065,1.185946752,1.02902195,1.057540203
0.398,1.28714214,1.186496185,1.029747948,1.058655262
0.399,1.288702436,1.187310245,1.030372613,1.060426854
0.4,1.289940248,1.187693764,1.03135902,1.061507911
0.401,1.291165337,1.188469568,1.031736269,1.061849334
0.402,1.292286854,1.18973954,1.032430629,1.063515967
0.403,1.293518222,1.193885687,1.033475233,1.063864844
0.404,1.294631198,1.194817849,1.034115777,1.064904404
0.405,1.295371261,1.195428209,1.034615844,1.065924442
0.406,1.296695659,1.195950852,1.03519774,1.066913762
0.407,1.297926828,1.196500428,1.035832872,1.067645358
0.408,1.2994177,1.197443011,1.036356134,1.06886057
