Pose/Time (ns),Pose 1: PersScore 0.452 PoseScore 1.419 DockingScore -13.397,Pose  2: PersScore 0.291 PoseScore 3.460 DockingScore -12.701
0,1.16E-08,1.24E-08
0.001,0.228145639,0.232022496
0.002,0.25310753,0.253823991
0.003,0.272130796,0.255641306
0.004,0.28459337,0.298150257
0.005,0.286123085,0.315756883
0.006,0.301127266,0.317478721
0.007,0.320864542,0.318410003
0.008,0.350741551,0.335354296
0.009,0.378063942,0.360401552
0.01,0.385427666,0.385008936
0.011,0.387029508,0.400510149
0.012,0.398902029,0.410889683
0.013,0.409319949,0.428195191
0.014,0.432365791,0.471745232
0.015,0.434019111,0.473330007
0.016,0.443622038,0.474203651
0.017,0.445237473,0.475527893
0.018,0.454686762,0.476886766
0.019,0.466684988,0.477880255
0.02,0.468214618,0.478793627
0.021,0.469389491,0.485779079
0.022,0.477579023,0.486543652
0.023,0.479478998,0.487207682
0.024,0.480872465,0.488503165
0.025,0.481935135,0.499020973
0.026,0.483339994,0.509091699
0.027,0.484325306,0.521063707
0.028,0.485534652,0.52288685
0.029,0.486945366,0.523781927
0.03,0.488061182,0.524634316
0.031,0.488694748,0.52596865
0.032,0.489345059,0.5275276
0.033,0.490218154,0.528430248
0.034,0.491111269,0.52923022
0.035,0.492149363,0.530447664
0.036,0.492779544,0.536832754
0.037,0.50098118,0.542787827
0.038,0.501516192,0.543446979
0.039,0.502661,0.549354404
0.04,0.503441942,0.565289603
0.041,0.511456064,0.58966593
0.042,0.512493228,0.590818215
0.043,0.512965085,0.597754001
0.044,0.513532341,0.599596565
0.045,0.51689703,0.606282153
0.046,0.517996017,0.607733631
0.047,0.534344977,0.608722126
0.048,0.540551167,0.614487538
0.049,0.544321715,0.616013885
0.05,0.545407391,0.617509568
0.051,0.546554454,0.618287197
0.052,0.547593004,0.627055798
0.053,0.555983283,0.628008363
0.054,0.569778068,0.62883495
0.055,0.570603408,0.629871448
0.056,0.577276493,0.631127447
0.057,0.580643266,0.636957874
0.058,0.581782191,0.64627453
0.059,0.58556431,0.647872413
0.06,0.586903887,0.648980659
0.061,0.590189506,0.650279078
0.062,0.598027819,0.666955253
0.063,0.59906939,0.667717379
0.064,0.599830086,0.668473292
0.065,0.600606662,0.682071553
0.066,0.601156867,0.693164508
0.067,0.60179029,0.694305883
0.068,0.602240958,0.695082136
0.069,0.602651087,0.695612201
0.07,0.603573108,0.696243517
0.071,0.604558351,0.712045648
0.072,0.605741783,0.713017486
0.073,0.606039091,0.71414842
0.074,0.60649927,0.715102872
0.075,0.607408119,0.716141231
0.076,0.608267451,0.717890297
0.077,0.609360418,0.718693957
0.078,0.610139259,0.719820072
0.079,0.613529696,0.720953352
0.08,0.624401032,0.721733656
0.081,0.62469307,0.723172164
0.082,0.628609453,0.724660661
0.083,0.629078947,0.725972019
0.084,0.642951935,0.726809852
0.085,0.643875102,0.72815298
0.086,0.644842056,0.729005452
0.087,0.645483627,0.729694418
0.088,0.646331527,0.737474111
0.089,0.647415543,0.738210152
0.09,0.647909229,0.738754941
0.091,0.648809753,0.739235955
0.092,0.649538286,0.73994937
0.093,0.650676796,0.740363891
0.094,0.651301594,0.740742321
0.095,0.652057405,0.741322101
0.096,0.652786298,0.752001114
0.097,0.653493239,0.752918005
0.098,0.653948252,0.753507375
0.099,0.654438935,0.754505945
0.1,0.655531996,0.770527282
0.101,0.656267464,0.772143995
0.102,0.657247204,0.772946424
0.103,0.657929924,0.774272543
0.104,0.658577397,0.7756167
0.105,0.659586622,0.776722627
0.106,0.660516087,0.811422243
0.107,0.661434956,0.812512438
0.108,0.66231278,0.813521075
0.109,0.663433386,0.81436338
0.11,0.664422178,0.81547757
0.111,0.665346822,0.816102233
0.112,0.666126247,0.816760512
0.113,0.677430509,0.831220879
0.114,0.67843473,0.832183499
0.115,0.683018605,0.832694473
0.116,0.684196195,0.84269175
0.117,0.685475445,0.843479547
0.118,0.688070233,0.84460233
0.119,0.689189467,0.845273516
0.12,0.690244972,0.846472327
0.121,0.69147547,0.856340988
0.122,0.692353467,0.857378083
0.123,0.693225818,0.862861728
0.124,0.710342449,0.863892028
0.125,0.711411402,0.865075117
0.126,0.712317244,0.865821553
0.127,0.713507975,0.876063119
0.128,0.714683021,0.892217353
0.129,0.715900265,0.892969868
0.13,0.717051336,0.893749539
0.131,0.718242603,0.894624339
0.132,0.719292129,0.906094492
0.133,0.720208333,0.907153573
0.134,0.721268965,0.907801988
0.135,0.724060725,0.916402772
0.136,0.738791431,0.917677236
0.137,0.740010038,0.91842533
0.138,0.740957528,0.919243934
0.139,0.742012298,0.919886305
0.14,0.742988398,0.920564141
0.141,0.743706596,0.921499233
0.142,0.744732431,0.922546347
0.143,0.745663345,0.923497296
0.144,0.74670588,0.924555998
0.145,0.751923003,0.925598034
