Pose/Time (ns),ZINC000100299612: PersScore 0.024 PoseScore 3.319 DockingScore -9.735,GTP: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,ZINC000003932191: PersScore 0.452 PoseScore 1.419 DockingScore -13.397,ZINC000077301904 PersScore 0.536 PoseScore 2.553 DockingScore -13.363,ZINC000003830434 PersScore 0.313 PoseScore 1.972 DockingScore -9.597,ZINC000004215255 PersScore 0.445 PoseScore 2.772 DockingScore -13.930,ZINC000095615286 PersScore 0.229 PoseScore 2.699 DockingScore -12.759,ZINC000150374455 PersScore 0.209 PoseScore 3.062 DockingScore -13.887,ZINC000008655696 PersScore 0.042 PoseScore 3.214 DockingScore -14.072
0,9.46E-09,1.30E-08,1.16E-08,1.21E-08,1.18E-08,1.16E-08,1.21E-08,1.24E-08,1.22E-08
0.001,0.240402344,0.212928541,0.228145639,0.225947931,0.221996051,0.219428458,0.207549253,0.199456057,0.262192049
0.002,0.279562621,0.241549466,0.25310753,0.270060403,0.257709949,0.264431856,0.265341208,0.215666465,0.272028448
0.003,0.334605081,0.266579867,0.272130796,0.313234063,0.313385677,0.273626349,0.293504524,0.231711888,0.28408009
0.004,0.358365641,0.288746569,0.28459337,0.357441144,0.359957622,0.321204052,0.307400121,0.254686143,0.323650729
0.005,0.379483043,0.295882489,0.286123085,0.358908388,0.371298389,0.341538142,0.313287039,0.263467371,0.355847636
0.006,0.381184999,0.297214417,0.301127266,0.360415998,0.389800233,0.346710265,0.319033072,0.310491694,0.368160602
0.007,0.391697247,0.298505933,0.320864542,0.361919536,0.39572247,0.358148265,0.332944264,0.330085857,0.368868014
0.008,0.410591521,0.29988636,0.350741551,0.363430064,0.410931671,0.359252274,0.3381123,0.344951269,0.378732145
0.009,0.428493098,0.310740761,0.378063942,0.370344298,0.412383924,0.368248553,0.343685942,0.346325256,0.38004072
0.01,0.447371254,0.312210941,0.385427666,0.375214025,0.430433559,0.369503628,0.349257288,0.359877242,0.397361044
0.011,0.465479881,0.317758545,0.387029508,0.391804339,0.432034937,0.385234833,0.374278433,0.375389067,0.398833181
0.012,0.46689032,0.33170593,0.398902029,0.408462678,0.433774986,0.386351932,0.385114377,0.377162056,0.406352869
0.013,0.486708373,0.333055899,0.409319949,0.410117499,0.435030901,0.387940683,0.400883515,0.40457206,0.422303146
0.014,0.528519169,0.334328409,0.432365791,0.41199181,0.436960232,0.389174575,0.410225915,0.411757122,0.439080071
0.015,0.579307419,0.335488655,0.434019111,0.438378819,0.456390474,0.390881542,0.434814454,0.439709038,0.439989491
0.016,0.580821677,0.336944876,0.443622038,0.451723349,0.457386377,0.391823566,0.436349591,0.440932985,0.440943617
0.017,0.588477768,0.338060548,0.445237473,0.453104099,0.458511571,0.393397731,0.444818218,0.453702821,0.450748224
