Pose/Time (ns),Z100299612: PersScore 0.024 PoseScore 3.319 DockingScore -9.735,GTP: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,Z3932191: PersScore 0.452 PoseScore 1.419 DockingScore -13.397
0,9.46E-09,1.30E-08,1.16E-08
0.001,0.240402344,0.212928541,0.228145639
0.002,0.279562621,0.241549466,0.25310753
0.003,0.334605081,0.266579867,0.272130796
0.004,0.358365641,0.288746569,0.28459337
0.005,0.379483043,0.295882489,0.286123085
0.006,0.381184999,0.297214417,0.301127266
0.007,0.391697247,0.298505933,0.320864542
0.008,0.410591521,0.29988636,0.350741551
0.009,0.428493098,0.310740761,0.378063942
0.01,0.447371254,0.312210941,0.385427666
0.011,0.465479881,0.317758545,0.387029508
0.012,0.46689032,0.33170593,0.398902029
0.013,0.486708373,0.333055899,0.409319949
0.014,0.528519169,0.334328409,0.432365791
0.015,0.579307419,0.335488655,0.434019111
0.016,0.580821677,0.336944876,0.443622038
0.017,0.588477768,0.338060548,0.445237473
0.018,0.60374307,0.339818739,0.454686762
0.019,0.616788268,0.341484615,0.466684988
0.02,0.624249986,0.343121325,0.468214618
0.021,0.625432172,0.34742689,0.469389491
0.022,0.658055631,0.348842343,0.477579023
0.023,0.671860296,0.349971318,0.479478998
0.024,0.673037401,0.35104208,0.480872465
0.025,0.693744663,0.352741423,0.481935135
0.026,0.696245276,0.354349355,0.483339994
0.027,0.697647955,0.355901505,0.484325306
0.028,0.706266954,0.357399315,0.485534652
0.029,0.707421377,0.358652155,0.486945366
0.03,0.708140344,0.362903485,0.488061182
0.031,0.709136122,0.364373394,0.488694748
0.032,0.710135289,0.365724033,0.489345059
0.033,0.711286791,0.394525347,0.490218154
0.034,0.712711972,0.398152612,0.491111269
0.035,0.713473625,0.398388531,0.492149363
0.036,0.714492009,0.39940113,0.492779544
0.037,0.715524821,0.400338227,0.50098118
0.038,0.7166593,0.400666306,0.501516192
0.039,0.717580291,0.401555852,0.502661
0.04,0.718117506,0.413558002,0.503441942
0.041,0.73734358,0.414575465,0.511456064
0.042,0.738025267,0.414955013,0.512493228
0.043,0.739057993,0.415860807,0.512965085
0.044,0.739757203,0.416232326,0.513532341
0.045,0.740074508,0.424470842,0.51689703
0.046,0.740883026,0.425599912,0.517996017
0.047,0.749150873,0.426970505,0.534344977
0.048,0.749856707,0.428155978,0.540551167
0.049,0.750290826,0.429385134,0.544321715
0.05,0.751552241,0.430186593,0.545407391
0.051,0.752128662,0.430991235,0.546554454
0.052,0.752682596,0.431691498,0.547593004
0.053,0.752892549,0.432364615,0.555983283
0.054,0.753054371,0.433433288,0.569778068
0.055,0.754291251,0.434003038,0.570603408
0.056,0.75535212,0.434583589,0.577276493
0.057,0.756260772,0.43550034,0.580643266
0.058,0.764238459,0.436425245,0.581782191
0.059,0.771766807,0.437143444,0.58556431
0.06,0.779534233,0.437984635,0.586903887
0.061,0.780537605,0.438704375,0.590189506
0.062,0.789122171,0.449582692,0.598027819
0.063,0.797409689,0.450646636,0.59906939
0.064,0.798099536,0.451489784,0.599830086
0.065,0.79882582,0.453720582,0.600606662
0.066,0.800031277,0.454797667,0.601156867
0.067,0.801096088,0.455661029,0.60179029
0.068,0.801937378,0.457685768,0.602240958
0.069,0.802725817,0.458967583,0.602651087
0.07,0.804063767,0.459838254,0.603573108
0.071,0.804490617,0.460411639,0.604558351
0.072,0.805749612,0.460749366,0.605741783
0.073,0.806564589,0.470199077,0.606039091
0.074,0.807797485,0.470681776,0.60649927
0.075,0.808863974,0.470987841,0.607408119
0.076,0.809493489,0.471651415,0.608267451
0.077,0.810095981,0.472081723,0.609360418
0.078,0.810704603,0.472878007,0.610139259
0.079,0.811493683,0.473761037,0.613529696
0.08,0.812431023,0.474307158,0.624401032
0.081,0.814020231,0.474977845,0.62469307
0.082,0.814954994,0.474951864,0.628609453
0.083,0.815932146,0.475194134,0.629078947
0.084,0.840423772,0.475750433,0.642951935
0.085,0.841684197,0.476210721,0.643875102
0.086,0.842163095,0.476872537,0.644842056
0.087,0.842844534,0.477366639,0.645483627
0.088,0.844136032,0.478344113,0.646331527
0.089,0.844922705,0.479125971,0.647415543
0.09,0.864489646,0.47983682,0.647909229
0.091,0.865468238,0.48038978,0.648809753
0.092,0.866049821,0.480821078,0.649538286
0.093,0.867575935,0.481440148,0.650676796
0.094,0.868421482,0.482202175,0.651301594
