Frame,Time (ns),Hydrogen Bonds,Salt Bridge,Pi-Pi Stacking
1,0.0,4,5,0
2,0.2,4,6,0
3,0.4,5,6,0
4,0.6,5,6,0
5,0.8,3,6,0
6,1.0,4,6,1
7,1.2,4,6,0
8,1.4,4,5,0
9,1.6,4,6,0
10,1.8,4,6,2
11,2.0,5,6,0
12,2.2,3,6,1
13,2.4,5,7,0
14,2.6,4,7,1
15,2.8,4,6,0
16,3.0,7,8,1
17,3.2,5,8,2
18,3.4,5,8,0
19,3.6,5,8,0
20,3.8,5,8,0
21,4.0,7,7,0
22,4.2,5,7,1
23,4.4,4,8,0
24,4.6,2,7,0
25,4.8,3,6,0
26,5.0,5,6,0
27,5.2,3,5,0
28,5.4,4,5,0
29,5.6,2,5,0
30,5.8,3,5,0
31,6.0,3,5,0
32,6.2,3,5,0
33,6.4,3,6,0
34,6.6,3,5,0
35,6.8,3,5,0
36,7.0,2,5,0
37,7.2,4,5,0
38,7.4,4,5,0
39,7.6,3,7,1
40,7.8,3,6,1
41,8.0,3,6,1
42,8.2,3,5,0
43,8.4,4,7,1
44,8.6,4,6,0
45,8.8,4,6,0
46,9.0,4,8,0
47,9.2,4,7,0
48,9.4,2,5,0
49,9.6,3,6,0
50,9.8,3,5,1
51,10.0,2,4,0
