Frame,Time (ns),Hydrogen Bonds,Salt Bridge,Pi-Pi Stacking,Pi-Cation
1,0.0,1,1,1,0
2,0.2,1,1,1,0
3,0.4,1,1,1,0
4,0.6,1,1,0,1
5,0.8,1,1,1,1
6,1.0,0,1,1,1
7,1.2,1,1,0,1
8,1.4,1,1,1,0
9,1.6,0,1,1,1
10,1.8,0,0,1,0
11,2.0,0,0,1,0
12,2.2,1,0,0,1
13,2.4,1,0,1,0
14,2.6,1,0,0,0
15,2.8,1,0,0,1
16,3.0,4,1,0,1
17,3.2,3,1,0,0
18,3.4,4,1,0,1
19,3.6,3,0,1,0
20,3.8,2,1,0,0
21,4.0,3,0,0,0
22,4.2,4,1,0,1
23,4.4,1,1,0,0
24,4.6,2,0,0,1
25,4.8,3,1,0,1
26,5.0,2,0,0,0
27,5.2,2,1,0,0
28,5.4,2,0,1,0
29,5.6,2,1,0,1
30,5.8,1,1,1,1
31,6.0,3,1,0,1
32,6.2,2,0,0,1
33,6.4,2,0,0,0
34,6.6,2,0,0,1
35,6.8,1,0,1,1
36,7.0,1,0,1,1
37,7.2,2,0,0,1
38,7.4,1,0,1,1
39,7.6,2,0,1,1
40,7.8,2,0,3,0
41,8.0,2,0,2,1
42,8.2,4,0,1,0
43,8.4,3,0,1,0
44,8.6,2,0,3,0
45,8.8,1,0,3,0
46,9.0,1,0,1,1
47,9.2,2,0,2,1
48,9.4,1,0,1,0
49,9.6,0,0,3,1
50,9.8,1,0,0,1
51,10.0,1,0,2,1
