projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-0.737, -1.763
-1.434, 1.231
-1.528, 0.819
-1.599, 0.588
-1.497, 0.569
-1.674, -0.636
-1.353, -0.007
-1.165, 0.024
-1.013, -0.245
-1.127, 0.470
-1.077, 0.172
-1.195, -0.289
-1.037, -0.311
-1.524, -0.491
-1.334, -0.094
-1.025, 0.194
-1.502, 0.210
-1.581, -0.195
-1.189, -0.558
-1.098, 0.292
-1.242, -0.607
-1.246, -0.013
-1.607, 0.201
-1.308, -0.365
-1.147, 0.329
-1.392, -0.395
-1.565, -0.243
-0.988, 0.234
-1.545, -0.356
-1.580, 0.072
-1.462, -0.072
-1.408, 0.470
-1.385, 0.519
-1.260, 0.720
-1.530, -0.133
-1.427, 0.175
-1.370, 0.229
-1.723, 0.327
-1.359, 0.102
-1.601, 0.596
-1.297, 0.886
-1.072, 1.514
-1.244, 1.216
-1.034, 0.773
-0.741, 0.678
-0.972, -0.039
-0.991, 0.289
-0.814, 0.793
-0.475, 0.889
-0.453, 0.533
-0.749, 0.204
-0.327, 0.821
-0.719, 0.402
-1.022, 0.127
-1.069, 0.946
-1.093, 1.004
-1.281, 0.482
-1.462, 0.330
-1.494, 0.724
-1.792, -0.039
-1.211, 0.872
-1.658, 0.312
-1.550, 0.703
-1.510, 0.610
-1.629, 0.958
-1.408, 0.488
-1.445, 1.127
-1.745, 0.377
-1.518, 0.821
-1.495, 0.138
-1.568, -0.239
-1.388, -0.574
-1.013, 0.158
-1.505, 0.872
-1.513, 0.130
-0.941, 0.264
-1.051, 0.331
-1.290, 0.059
-1.596, 0.665
-1.908, 0.638
-1.655, 1.181
-1.678, 0.991
-1.710, 1.014
-1.768, 0.770
-1.341, 0.603
-1.508, -0.195
-1.688, 0.355
-1.768, -0.133
-1.455, -0.376
-1.341, -0.338
-1.338, 1.151
-1.543, 0.333
-1.346, 0.178
-1.367, 0.187
-1.678, 0.226
-1.247, 0.219
-1.409, -0.115
-1.277, -1.447
-1.433, -0.894
-1.381, -1.014
-1.265, -0.922
-1.090, -0.721
-1.325, -0.828
-1.070, -0.186
-0.352, 0.066
-0.588, -0.155
-0.829, 0.553
-0.697, 0.438
-1.038, 0.161
-0.905, -0.836
-1.228, 0.170
-0.841, 0.218
-1.276, -0.001
-0.861, -0.529
-0.857, -0.205
-0.585, -1.009
-0.816, -1.200
-0.652, -0.868
-0.837, 0.175
-1.085, -0.473
-1.050, -1.051
-0.516, -0.484
-0.608, -0.754
-0.962, -1.432
-0.818, -1.181
-0.797, -0.874
-0.822, -1.461
-0.790, -0.775
-0.790, -0.813
-0.795, -1.049
-0.938, -0.506
-1.219, -1.407
-0.776, -0.664
-1.096, -0.430
-0.981, -0.280
-0.391, -0.863
-0.631, -1.099
-0.829, -1.419
-0.720, -0.737
-0.427, 0.097
-0.953, -0.017
-0.523, -1.215
-0.874, -0.653
-0.859, -0.646
-0.894, -1.165
-0.881, -0.675
-0.483, -1.533
-0.900, -1.162
-0.919, -1.183
-0.786, -1.181
-0.819, -0.799
-0.952, -1.548
-0.754, -1.714
-1.348, -1.305
-1.532, -1.097
-1.137, -1.473
-1.100, -0.928
-1.146, -1.197
-1.005, -1.525
-1.246, -1.233
-1.336, -0.833
-0.768, -1.168
-0.856, -2.078
-1.102, -1.780
-0.966, -0.906
-0.918, -0.484
-0.862, -1.187
-0.932, -0.798
-0.473, -0.803
-0.627, -0.993
-0.411, -0.506
-0.102, -0.882
0.032, -0.793
-0.171, -1.471
-0.718, -1.216
-1.038, -1.228
-0.568, -1.139
-0.715, -1.249
-0.597, -1.473
-0.580, -1.302
-1.080, -0.972
-0.718, -0.280
-0.493, 0.090
-0.742, -0.961
-0.700, -0.619
-0.993, -0.618
-0.803, -0.941
-0.530, -1.156
-0.465, -1.245
-0.446, -1.538
-0.516, -1.026
-0.879, 0.001
-1.232, -0.560
-0.921, -0.544
-0.965, 0.146
-1.192, 0.504
-0.867, -0.144
-1.133, -0.349
-1.230, -0.017
-1.084, -0.091
-1.050, -0.453
-0.965, 0.326
-0.822, 0.008
-1.052, 0.288
-1.276, 0.245
-1.211, -0.114
-1.543, -0.176
-1.189, -0.775
-1.086, 0.029
-0.863, -0.087
-1.471, -0.211
-1.421, 0.048
-1.252, -0.570
-1.425, -0.383
