projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-0.326, 0.912
0.386, -2.803
-0.067, -2.359
-0.509, -2.281
-0.739, -1.907
-0.593, -2.399
-0.675, -2.164
-0.906, -1.992
-1.006, -1.576
-1.334, -2.059
-0.217, -2.141
-1.037, -1.746
-1.110, -1.934
-0.729, -2.006
-0.222, -2.404
-0.155, -2.302
-0.587, -2.008
-0.024, -2.553
-0.370, -2.093
-0.319, -2.196
-0.679, -2.172
-0.820, -2.175
-0.336, -2.222
-0.859, -2.085
-0.844, -2.096
-1.029, -1.976
-0.280, -2.095
0.256, -2.215
-0.025, -2.414
-0.904, -2.004
-1.096, -2.002
-1.132, -1.764
-1.050, -1.973
-0.747, -2.031
-0.293, -2.155
-0.589, -2.441
-0.661, -2.166
-0.517, -2.115
-0.837, -2.015
-0.852, -1.951
-0.857, -2.031
-1.355, -1.766
-1.772, -1.628
-1.686, -1.813
-1.055, -2.039
-0.046, -2.137
-0.841, -2.317
-0.418, -2.232
-0.599, -1.539
-1.114, -1.787
-2.221, -1.646
-0.925, -1.581
-0.328, -1.765
-0.777, -1.932
-0.667, -1.792
-1.084, -1.584
-1.547, -1.271
-0.758, -1.731
-0.948, -1.796
-1.248, -1.645
-1.107, -1.369
-1.468, -1.555
-1.168, -1.296
-1.360, -1.345
-1.572, -1.303
-1.320, -1.302
-1.426, -1.388
-1.858, -1.047
-1.971, -1.123
-1.582, -1.487
-1.286, -1.545
-1.333, -1.955
-1.156, -1.446
-0.626, -2.112
-1.374, -1.563
-1.406, -1.407
-1.300, -1.592
-1.782, -1.247
-1.744, -0.998
-1.597, -1.245
-1.314, -1.514
-1.874, -1.178
-1.665, -1.384
-1.538, -1.359
-1.927, -1.152
-1.437, -1.072
-1.586, -0.938
-0.963, -1.649
-0.812, -1.288
-1.611, -1.185
-1.654, -0.922
-1.514, -1.251
-2.162, -0.684
-2.156, -0.799
-2.124, -1.126
-2.236, -0.807
-1.877, -0.940
-1.736, -1.264
-1.574, -1.620
-1.272, -1.695
-1.590, -1.450
-1.870, -1.379
-1.552, -1.194
-1.474, -1.302
-1.537, -1.300
-1.668, -1.332
-1.395, -1.619
-1.403, -1.595
-1.290, -1.271
-1.703, -1.417
-1.991, -0.914
-1.397, -1.252
-2.227, -0.867
-1.739, -1.170
-1.441, -0.778
-1.453, -1.296
-1.408, -0.821
-0.686, -1.397
-2.172, -1.240
-1.987, -0.848
-1.405, -0.980
-1.216, -1.118
-0.718, -1.633
-1.608, -1.021
-1.418, -1.156
-1.536, -1.634
-0.516, -1.981
-1.267, -1.472
-1.457, -1.579
-1.473, -0.913
-0.415, -1.604
-1.778, -0.989
-0.813, -1.460
-0.254, -1.802
-0.474, -1.935
-1.241, -1.200
-1.006, -1.565
-1.161, -1.196
