Time (ps), RMSD (nm)
0.000, 0.001
0.100, 0.192
0.200, 0.198
0.300, 0.207
0.400, 0.176
0.500, 0.186
0.600, 0.200
0.700, 0.200
0.800, 0.214
0.900, 0.184
1.000, 0.214
1.100, 0.193
1.200, 0.205
1.300, 0.177
1.400, 0.175
1.500, 0.194
1.600, 0.163
1.700, 0.170
1.800, 0.186
1.900, 0.212
2.000, 0.194
2.100, 0.193
2.200, 0.197
2.300, 0.214
2.400, 0.218
2.500, 0.202
2.600, 0.195
2.700, 0.207
2.800, 0.193
2.900, 0.215
3.000, 0.203
3.100, 0.189
3.200, 0.189
3.300, 0.173
3.400, 0.190
3.500, 0.208
3.600, 0.209
3.700, 0.221
3.800, 0.205
3.900, 0.231
4.000, 0.223
4.100, 0.204
4.200, 0.211
4.300, 0.209
4.400, 0.182
4.500, 0.195
4.600, 0.194
4.700, 0.180
4.800, 0.195
4.900, 0.208
5.000, 0.211
5.100, 0.217
5.200, 0.198
5.300, 0.204
5.400, 0.191
5.500, 0.188
5.600, 0.187
5.700, 0.198
5.800, 0.225
5.900, 0.208
6.000, 0.207
6.100, 0.201
6.200, 0.200
6.300, 0.216
6.400, 0.195
6.500, 0.184
6.600, 0.190
6.700, 0.175
6.800, 0.176
6.900, 0.176
7.000, 0.197
7.100, 0.186
7.200, 0.194
7.300, 0.173
7.400, 0.205
7.500, 0.184
7.600, 0.201
7.700, 0.193
7.800, 0.188
7.900, 0.177
8.000, 0.206
8.100, 0.184
8.200, 0.192
8.300, 0.166
8.400, 0.207
8.500, 0.204
8.600, 0.179
8.700, 0.174
8.800, 0.178
8.900, 0.186
9.000, 0.181
9.100, 0.172
9.200, 0.184
9.300, 0.194
9.400, 0.191
9.500, 0.179
9.600, 0.183
9.700, 0.174
9.800, 0.183
9.900, 0.197
10.000, 0.190
10.100, 0.185
10.200, 0.175
10.300, 0.195
10.400, 0.191
10.500, 0.173
10.600, 0.179
10.700, 0.177
10.800, 0.178
10.900, 0.183
11.000, 0.191
11.100, 0.182
11.200, 0.194
11.300, 0.194
11.400, 0.172
11.500, 0.183
11.600, 0.207
11.700, 0.189
11.800, 0.183
11.900, 0.170
12.000, 0.172
12.100, 0.203
12.200, 0.190
12.300, 0.190
12.400, 0.186
12.500, 0.212
12.600, 0.196
12.700, 0.201
12.800, 0.213
12.900, 0.204
13.000, 0.186
13.100, 0.216
13.200, 0.186
13.300, 0.177
13.400, 0.199
13.500, 0.200
13.600, 0.204
13.700, 0.175
13.800, 0.179
13.900, 0.195
14.000, 0.186
14.100, 0.183
14.200, 0.193
14.300, 0.185
14.400, 0.180
14.500, 0.189
14.600, 0.198
14.700, 0.189
14.800, 0.187
14.900, 0.190
15.000, 0.195
15.100, 0.208
15.200, 0.219
15.300, 0.210
15.400, 0.209
15.500, 0.201
15.600, 0.188
15.700, 0.203
15.800, 0.222
15.900, 0.218
16.000, 0.200
16.100, 0.192
16.200, 0.222
16.300, 0.240
16.400, 0.226
16.500, 0.191
16.600, 0.201
16.700, 0.206
