Time (ps), RMSD (nm)
0.000, 0.001
0.100, 0.193
0.200, 0.167
0.300, 0.185
0.400, 0.175
0.500, 0.178
0.600, 0.175
0.700, 0.182
0.800, 0.175
0.900, 0.188
1.000, 0.175
1.100, 0.170
1.200, 0.184
1.300, 0.182
1.400, 0.191
1.500, 0.174
1.600, 0.172
1.700, 0.168
1.800, 0.166
1.900, 0.186
2.000, 0.180
2.100, 0.166
2.200, 0.177
2.300, 0.172
2.400, 0.170
2.500, 0.162
2.600, 0.174
2.700, 0.184
2.800, 0.198
2.900, 0.174
3.000, 0.182
3.100, 0.184
3.200, 0.181
3.300, 0.178
3.400, 0.194
3.500, 0.189
3.600, 0.189
3.700, 0.173
3.800, 0.201
3.900, 0.185
4.000, 0.170
4.100, 0.173
4.200, 0.172
4.300, 0.169
4.400, 0.175
4.500, 0.173
4.600, 0.193
4.700, 0.186
4.800, 0.177
4.900, 0.189
5.000, 0.193
5.100, 0.189
5.200, 0.181
5.300, 0.170
5.400, 0.183
5.500, 0.170
5.600, 0.174
5.700, 0.173
5.800, 0.179
5.900, 0.195
6.000, 0.173
6.100, 0.187
6.200, 0.163
6.300, 0.167
6.400, 0.181
6.500, 0.182
6.600, 0.164
6.700, 0.159
6.800, 0.158
6.900, 0.178
7.000, 0.176
7.100, 0.163
7.200, 0.161
7.300, 0.164
7.400, 0.183
7.500, 0.180
7.600, 0.175
7.700, 0.176
7.800, 0.174
7.900, 0.167
8.000, 0.185
8.100, 0.178
8.200, 0.181
8.300, 0.189
8.400, 0.187
8.500, 0.182
8.600, 0.181
8.700, 0.175
8.800, 0.169
8.900, 0.193
9.000, 0.185
9.100, 0.162
9.200, 0.162
9.300, 0.174
9.400, 0.163
9.500, 0.158
9.600, 0.158
9.700, 0.163
9.800, 0.155
9.900, 0.150
10.000, 0.157
10.100, 0.159
10.200, 0.166
10.300, 0.186
10.400, 0.181
10.500, 0.167
10.600, 0.160
10.700, 0.172
10.800, 0.150
10.900, 0.164
11.000, 0.177
11.100, 0.176
11.200, 0.179
11.300, 0.204
11.400, 0.180
11.500, 0.185
11.600, 0.189
11.700, 0.207
11.800, 0.191
11.900, 0.210
12.000, 0.188
12.100, 0.196
12.200, 0.235
12.300, 0.223
12.400, 0.214
12.500, 0.222
12.600, 0.234
12.700, 0.242
12.800, 0.255
12.900, 0.233
13.000, 0.225
13.100, 0.240
13.200, 0.222
13.300, 0.233
13.400, 0.256
13.500, 0.228
13.600, 0.242
13.700, 0.244
13.800, 0.235
13.900, 0.231
14.000, 0.247
14.100, 0.250
14.200, 0.275
14.300, 0.233
14.400, 0.246
14.500, 0.213
14.600, 0.217
14.700, 0.218
14.800, 0.230
14.900, 0.213
15.000, 0.215
15.100, 0.222
15.200, 0.220
15.300, 0.210
15.400, 0.196
15.500, 0.198
15.600, 0.209
15.700, 0.201
15.800, 0.191
15.900, 0.204
16.000, 0.211
16.100, 0.199
16.200, 0.210
16.300, 0.209
16.400, 0.213
16.500, 0.217
16.600, 0.213
16.700, 0.225
16.800, 0.235
16.900, 0.236
17.000, 0.228
17.100, 0.251
17.200, 0.240
17.300, 0.260
17.400, 0.244
17.500, 0.261
17.600, 0.223
17.700, 0.208
17.800, 0.237
17.900, 0.236
18.000, 0.229
18.100, 0.225
18.200, 0.223
18.300, 0.226
18.400, 0.221
18.500, 0.257
18.600, 0.259
18.700, 0.279
18.800, 0.269
18.900, 0.286
19.000, 0.290
19.100, 0.281
19.200, 0.283
19.300, 0.244
19.400, 0.241
19.500, 0.254
19.600, 0.248
19.700, 0.248
19.800, 0.251
19.900, 0.249
20.000, 0.267
20.100, 0.252
20.200, 0.267
20.300, 0.271
20.400, 0.265
20.500, 0.267
20.600, 0.242
20.700, 0.245
20.800, 0.250
20.900, 0.263
21.000, 0.248
21.100, 0.228
21.200, 0.243
21.300, 0.227
21.400, 0.229
21.500, 0.216
21.600, 0.225
21.700, 0.229
21.800, 0.212
21.900, 0.240
22.000, 0.227
22.100, 0.234
22.200, 0.260
22.300, 0.281
22.400, 0.276
22.500, 0.259
22.600, 0.244
22.700, 0.270
22.800, 0.285
22.900, 0.288
23.000, 0.298
23.100, 0.289
23.200, 0.288
23.300, 0.263
23.400, 0.255
23.500, 0.247
23.600, 0.260
23.700, 0.245
23.800, 0.246
23.900, 0.241
24.000, 0.225
24.100, 0.260
24.200, 0.261
24.300, 0.247
24.400, 0.245
24.500, 0.244
24.600, 0.259
24.700, 0.254
24.800, 0.249
24.900, 0.265
25.000, 0.246
25.100, 0.250
25.200, 0.229
25.300, 0.223
25.400, 0.251
25.500, 0.229
25.600, 0.229
25.700, 0.228
25.800, 0.230
25.900, 0.256
26.000, 0.273
26.100, 0.260
26.200, 0.251
26.300, 0.252
26.400, 0.264
26.500, 0.252
26.600, 0.261
26.700, 0.263
26.800, 0.290
26.900, 0.274
27.000, 0.258
27.100, 0.262
27.200, 0.239
27.300, 0.253
27.400, 0.272
27.500, 0.259
27.600, 0.259
27.700, 0.274
27.800, 0.247
27.900, 0.259
28.000, 0.296
28.100, 0.235
28.200, 0.243
28.300, 0.254
28.400, 0.254
28.500, 0.224
28.600, 0.249
28.700, 0.269
28.800, 0.226
28.900, 0.230
29.000, 0.231
29.100, 0.237
29.200, 0.254
29.300, 0.239
29.400, 0.251
29.500, 0.248
29.600, 0.247
29.700, 0.246
29.800, 0.262
29.900, 0.254
30.000, 0.261
30.100, 0.247
30.200, 0.245
30.300, 0.248
30.400, 0.243
30.500, 0.244
30.600, 0.233
30.700, 0.244
30.800, 0.237
30.900, 0.240
31.000, 0.235
31.100, 0.251
31.200, 0.233
31.300, 0.237
31.400, 0.235
31.500, 0.244
31.600, 0.241
31.700, 0.235
31.800, 0.229
31.900, 0.220
32.000, 0.225
32.100, 0.224
32.200, 0.232
32.300, 0.253
32.400, 0.256
32.500, 0.244
32.600, 0.239
32.700, 0.242
32.800, 0.248
32.900, 0.267
33.000, 0.262
33.100, 0.268
33.200, 0.282
33.300, 0.266
33.400, 0.264
33.500, 0.238
33.600, 0.280
33.700, 0.268
33.800, 0.234
33.900, 0.235
34.000, 0.268
34.100, 0.257
34.200, 0.267
34.300, 0.282
34.400, 0.287
34.500, 0.281
34.600, 0.261
34.700, 0.248
34.800, 0.275
34.900, 0.241
35.000, 0.272
35.100, 0.275
35.200, 0.271
35.300, 0.293
35.400, 0.283
35.500, 0.256
35.600, 0.258
35.700, 0.269
35.800, 0.267
35.900, 0.265
36.000, 0.250
36.100, 0.242
36.200, 0.258
36.300, 0.258
36.400, 0.248
36.500, 0.248
36.600, 0.241
36.700, 0.263
36.800, 0.252
36.900, 0.224
37.000, 0.224
37.100, 0.242
37.200, 0.240
37.300, 0.253
37.400, 0.252
37.500, 0.231
37.600, 0.247
37.700, 0.255
37.800, 0.270
37.900, 0.275
38.000, 0.257
38.100, 0.248
38.200, 0.254
38.300, 0.246
38.400, 0.229
38.500, 0.244
38.600, 0.263
38.700, 0.256
38.800, 0.245
38.900, 0.244
39.000, 0.238
39.100, 0.253
39.200, 0.242
39.300, 0.263
39.400, 0.238
39.500, 0.228
39.600, 0.232
39.700, 0.215
39.800, 0.239
39.900, 0.235
40.000, 0.231
40.100, 0.259
40.200, 0.241
40.300, 0.257
40.400, 0.219
40.500, 0.233
40.600, 0.223
40.700, 0.241
40.800, 0.237
40.900, 0.230
41.000, 0.251
41.100, 0.236
41.200, 0.220
41.300, 0.221
41.400, 0.220
41.500, 0.227
41.600, 0.246
41.700, 0.236
41.800, 0.229
41.900, 0.268
42.000, 0.273
42.100, 0.273
42.200, 0.253
42.300, 0.247
42.400, 0.274
42.500, 0.250
42.600, 0.252
42.700, 0.250
42.800, 0.255
42.900, 0.255
43.000, 0.253
43.100, 0.265
43.200, 0.286
43.300, 0.256
43.400, 0.277
43.500, 0.269
43.600, 0.263
43.700, 0.275
43.800, 0.293
43.900, 0.293
44.000, 0.295
44.100, 0.274
44.200, 0.253
44.300, 0.249
44.400, 0.263
44.500, 0.235
44.600, 0.232
44.700, 0.231
44.800, 0.240
44.900, 0.232
45.000, 0.252
45.100, 0.272
45.200, 0.272
45.300, 0.256
45.400, 0.275
45.500, 0.237
