projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
0.946, 0.219
-0.680, -0.329
-0.367, -0.075
-0.869, -0.384
-0.701, -0.270
-0.679, -0.340
-0.542, -0.187
-0.412, -0.115
-0.273, -0.114
-0.529, -0.268
-0.551, -0.355
-0.298, -0.101
-0.034, 0.124
0.070, 0.089
-0.052, 0.503
0.099, 0.396
-0.499, 0.259
-0.381, 0.543
-0.230, 0.429
-0.407, 0.584
-0.541, 0.640
-0.554, 0.737
-0.408, 1.220
-0.364, 1.030
-0.211, 0.860
-0.439, 0.459
-0.513, 0.134
-0.544, 0.441
-0.222, 0.511
-0.433, 0.057
-0.527, 0.074
-0.403, 0.215
-0.520, -0.126
-0.596, 0.308
-0.384, 0.561
-0.541, 0.437
-0.587, 0.157
-0.599, 0.320
-0.509, 0.650
-0.728, 0.313
-0.776, 0.278
-0.341, 0.735
-0.833, 0.097
-0.518, 0.150
-0.588, 0.156
-0.174, 0.297
-0.286, 0.281
-0.482, 0.421
-0.287, -0.054
-0.107, 0.052
-0.186, -0.146
-0.323, -0.073
-0.275, -0.251
-0.357, -0.044
-0.186, -0.035
-0.299, -0.476
-0.272, -0.206
-0.578, -0.726
-0.283, -0.074
-0.282, -0.369
-0.476, -0.770
-0.432, -0.537
-0.261, -0.231
-0.348, -0.318
-0.302, -0.151
-0.522, -0.305
-0.273, -0.254
-0.252, -0.423
0.104, -0.263
-0.070, -0.115
0.053, 0.425
0.106, 0.025
-0.290, -0.482
-0.218, -0.321
-0.504, -0.690
-0.162, -0.135
-0.573, -0.732
-0.402, -0.883
-0.176, -0.231
-0.241, -0.108
-0.106, -0.074
-0.254, -0.083
-0.064, -0.050
-0.207, 0.386
0.020, 0.269
0.005, 0.450
-0.185, 0.571
0.014, 0.745
-0.025, 0.726
-0.098, 0.757
-0.120, 0.285
0.066, 0.658
-0.299, 0.431
0.037, 0.290
-0.018, 0.438
-0.289, 0.077
-0.244, 0.343
-0.342, 0.318
-0.779, -0.124
-0.558, 0.139
-0.225, 0.107
-0.097, 0.246
0.008, 0.162
0.001, 0.493
-0.149, 0.196
-0.133, 0.344
-0.182, -0.070
0.196, 0.305
-0.083, 0.483
-0.070, 0.060
0.007, -0.017
-0.065, 0.213
0.025, 0.334
0.098, 0.394
-0.385, 0.078
-0.339, 0.442
-0.473, 0.381
-0.074, 0.436
0.022, 0.423
-0.239, 0.471
-0.281, 0.672
-0.231, 0.638
-0.469, 0.469
-0.377, 0.733
-0.089, 1.285
-0.040, 1.162
0.208, 1.137
0.064, 1.009
0.204, 0.543
0.056, 0.762
0.111, 0.227
-0.022, 0.072
0.139, 0.435
0.073, 0.290
0.065, 0.430
0.071, 0.418
0.083, 0.901
-0.127, 0.644
-0.318, 0.425
-0.250, 0.643
-0.299, 0.678
-0.301, 0.178
-0.616, 0.176
-0.589, -0.079
-0.666, 0.109
-0.236, 0.331
-0.586, 0.287
-0.236, 0.614
-0.358, 0.835
-0.700, 0.434
-0.443, 0.486
-0.388, 0.340
-0.593, 0.391
-0.344, 0.155
-0.280, 0.200
-0.359, 0.108
-0.063, -0.065
-0.110, 0.074
-0.423, -0.269
0.014, 0.120
-0.085, -0.070
0.033, 0.043
0.090, -0.146
-0.289, -0.629
-0.157, -0.172
-0.143, -0.051
-0.005, -0.052
-0.273, -0.301
0.028, -0.065
-0.209, 0.007
-0.330, -0.426
-0.389, -0.675
-0.375, -0.599
-0.388, -0.250
-0.599, -0.539
-0.637, -0.531
-0.619, -0.275
-0.626, -0.393
-0.516, 0.131
-0.536, -0.220
-0.463, 0.092
-0.352, 0.100
-0.379, -0.045
-0.332, 0.281
0.024, 0.361
-0.124, 0.782
-0.254, 0.641
0.024, 0.988
-0.041, 0.532
-0.160, 0.882
-0.090, 0.318
-0.283, 0.409
-0.435, 0.202
-0.421, 0.231
-0.125, 0.200
-0.260, 0.528
-0.345, 0.139
-0.129, 0.254
-0.100, 0.570
-0.293, 0.479
-0.143, 0.282
0.333, 0.578
0.010, 0.742
0.138, 0.807
-0.022, 1.020
-0.052, 1.190
-0.334, 0.835
-0.302, 0.731
-0.352, 0.694
-0.070, 1.006
-0.123, 0.732
-0.380, 0.452
-0.152, 0.623
-0.009, 0.321
-0.252, 0.307
-0.110, 0.201
-0.152, 0.203
-0.020, 0.489
0.037, 0.225
-0.115, 0.128
-0.113, 0.294
-0.319, 0.403
-0.579, 0.046
-0.709, -0.137
-0.635, -0.206
-0.535, 0.048
-0.710, 0.060
-0.576, 0.245
-0.629, 0.109
-0.447, 0.069
-0.456, 0.192
-0.190, 0.543
-0.337, 0.620
-0.230, 0.577
-0.513, 0.327
-0.813, 0.084
-0.867, -0.212
-0.495, 0.198
-0.568, 0.188
-0.588, 0.096
-0.724, 0.332
-0.724, 0.562
-0.920, 0.084
-0.751, 0.217
-0.624, 0.665
-0.433, 0.642
-0.553, 0.813
-0.797, 0.489
-0.459, 0.518
-0.549, 0.421
-0.373, 0.844
-0.702, 0.403
-0.366, 1.182
-0.480, 0.432
-0.553, 0.744
-0.725, 0.410
-0.687, -0.003
-0.484, 0.296
-0.318, 0.842
-0.573, 0.208
-0.388, 0.617
-0.488, 0.725
-0.361, 0.723
-0.410, 0.788
-0.695, 0.671
-0.508, 0.284
-0.655, 0.001
-0.541, -0.140
-0.592, 0.138
-0.328, 0.310
-0.438, 0.187
0.024, 0.081
-0.432, -0.149
-0.694, -0.199
-0.332, 0.471
-0.268, 0.600
-0.303, 0.548
-0.298, 0.717
-0.117, 0.499
-0.294, 0.501
-0.299, 0.322
-0.527, 0.358
-0.876, 0.146
-0.806, 0.062
-0.707, 0.180
-0.426, 0.631
-0.456, 0.419
-0.474, 0.149
-0.302, 0.568
-0.165, 0.605
-0.294, 0.312
-0.308, 0.169
-0.542, 0.189
-0.545, 0.091
-0.828, 0.112
-0.391, 0.409
-0.417, 0.221
-0.265, 0.620
-0.328, 0.414
-0.403, 0.758
-0.219, 0.258
-0.181, 0.629
-0.525, 0.107
-0.310, 0.302
-0.296, -0.004
-0.363, 0.183
-0.361, 0.543
-0.596, 0.135
-0.254, 0.137
-0.352, 0.112
-0.626, -0.131
-0.411, 0.222
-0.216, 0.317
-0.416, 0.129
-0.411, 0.050
-0.202, 0.134
-0.006, 0.568
-0.216, 0.376
-0.440, 0.427
-0.391, -0.027
-0.251, 0.236
-0.309, 0.484
-0.491, 0.091
-0.498, 0.024
-0.365, -0.001
-0.987, -0.281
-0.899, -0.213
-0.481, 0.133
-0.657, -0.311
-0.629, -0.129
-0.774, -0.263
-0.685, 0.167
-0.202, 0.357
-0.556, 0.155
-0.219, 0.613
-0.358, 0.357
-0.393, 0.296
-0.550, 0.117
-0.645, 0.063
-0.567, -0.141
-0.558, -0.239
-0.478, -0.176
-0.406, -0.079
-0.341, 0.051
-0.403, 0.144
-0.359, -0.067
-0.387, 0.018
-0.711, 0.192
-0.716, -0.018
-0.558, 0.245
-0.283, 0.046
-0.481, 0.075
-0.277, 0.196
-0.448, 0.245
-0.410, 0.196
-0.019, 0.255
-0.245, -0.047
-0.398, -0.240
-0.479, -0.257
-0.328, -0.081
-0.240, -0.226
-0.271, -0.144
-0.001, 0.521
0.239, 0.629
0.083, 0.230
-0.089, 0.787
0.291, 0.346
-0.190, 0.125
-0.027, -0.224
-0.044, 0.243
0.214, 0.083
-0.062, 0.020
0.283, 0.057
0.043, 0.219
-0.114, 0.050
0.018, 0.571
-0.201, -0.001
-0.180, -0.175
-0.206, -0.161
-0.265, -0.518
-0.133, -0.315
-0.323, 0.035
-0.433, -0.142
-0.263, -0.251
-0.364, -0.146
-0.404, -0.335
-0.595, -0.202
-0.060, 0.252
0.178, 0.351
0.100, 0.431
-0.048, 0.183
-0.394, 0.279
-0.209, 0.392
-0.164, 0.511
-0.142, 0.766
-0.224, 0.462
-0.315, 0.071
-0.406, 0.032
-0.429, -0.332
-0.380, 0.163
-0.483, -0.037
-0.710, -0.062
-0.384, -0.021
-0.055, -0.076
-0.253, -0.050
-0.311, -0.111
-0.408, -0.159
-0.452, 0.190
-0.355, 0.216
-0.296, 0.274
-0.411, 0.136
-0.332, 0.318
-0.488, 0.100
-0.451, 0.063
-0.541, -0.490
-0.436, -0.192
-0.625, -0.466
-0.221, 0.196
-0.319, 0.287
-0.521, 0.084
-0.184, 0.390
0.084, 0.314
0.050, 0.398
-0.420, -0.018
-0.119, 0.400
-0.079, 0.328
-0.188, 0.461
-0.317, 0.275
-0.399, 0.006
-0.526, -0.154
-0.322, -0.213
-0.604, -0.502
-0.362, -0.012
-0.618, -0.244
-0.426, 0.069
-0.506, -0.000
-0.497, -0.135
-0.484, -0.438
-0.354, -0.493
-0.738, -0.413
-0.603, -0.517
-0.495, -0.527
-0.483, -0.557
-0.521, -0.408
-0.324, -0.281
-0.678, -0.404
-0.306, -0.273
-0.509, -0.643
-0.232, -0.673
-0.218, -0.328
-0.180, 0.046
-0.726, -0.470
-0.438, -0.422
-0.148, -0.364
-0.167, 0.018
-0.247, -0.288
-0.161, -0.432
-0.459, -0.372
-0.362, -0.356
-0.217, -0.064
-0.448, -0.495
-0.532, -0.301
-0.451, -0.032
-0.709, -0.459
-0.667, -0.510
-0.661, -0.619
-0.540, -0.368
-0.693, -0.606
-0.250, -0.304
-0.184, -0.092
-0.433, -0.269
-0.421, -0.473
-0.548, -0.374
-0.405, -0.520
-0.405, -0.460
0.079, -0.203
-0.203, -0.473
-0.506, -0.308
-0.502, 0.317
-0.280, 0.189
-0.524, -0.088
-0.747, -0.041
-0.422, 0.222
-0.437, 0.510
-0.426, 0.559
-0.675, -0.102
-0.457, 0.214
-0.675, 0.291
-0.825, 0.153
-0.894, 0.293
-0.732, 0.688
-0.787, 0.479
-0.775, 0.298
-0.817, 0.616
-0.732, 0.444
-0.741, 0.121
-0.787, 0.159
-0.809, 0.423
-0.822, 0.159
-0.617, 0.327
-0.993, -0.037
-0.776, 0.247
-1.034, -0.047
-1.181, 0.182
-1.013, 0.521
-0.583, 0.562
-0.821, 0.348
-0.258, 0.521
-0.487, 0.145
-0.495, 0.087
-0.328, 0.488
-0.269, 0.396
-0.464, 0.327
-0.199, 0.389
-0.344, 0.285
-0.422, 0.248
-0.618, 0.242
-0.588, 0.016
-0.565, 0.254
-0.557, 0.051
-0.844, -0.153
-0.885, -0.283
-0.844, 0.254
-1.049, 0.170
-0.477, 0.476
-0.674, 0.686
-0.533, 0.676
-0.723, 0.279
-0.291, 1.047
-0.541, 0.936
-0.484, 1.160
-0.333, 0.932
-0.855, 0.510
-0.723, 0.796
-0.877, 0.426
-0.996, 0.781
-0.830, 0.723
-0.875, 0.800
-0.615, 0.404
-0.976, 0.616
-0.464, 0.696
-0.849, 0.367
-0.331, 0.431
-0.173, 0.888
-0.447, 0.675
-0.233, 1.058
-0.457, 1.083
-0.563, 0.691
-0.766, 0.275
-0.792, -0.084
-0.677, -0.006
-0.865, 0.297
-0.738, 0.222
-0.806, 0.050
-0.902, 0.166
-0.919, 0.264
-0.560, 0.781
-0.741, 0.248
-1.149, 0.040
-1.358, 0.155
-0.757, 0.492
-0.701, 0.461
-0.679, 0.685
-0.851, 0.243
-0.737, 0.420
-0.659, 0.510
-0.279, 0.822
-0.547, 0.595
-0.533, 0.270
-0.492, 0.464
-0.439, 0.778
-0.336, 0.496
-0.699, 0.241
-0.545, 0.502
-0.558, 0.675
-0.406, 0.389
-0.337, 0.913
-0.528, 0.879
-0.713, 0.707
-0.741, 0.587
-0.692, 0.653
-0.753, 0.510
-0.724, 0.582
-0.396, 0.899
-0.516, 0.552
-0.362, 0.777
-0.342, 0.759
-0.707, 0.745
-0.852, 0.522
-0.525, 0.481
-0.219, 0.799
-0.545, 0.493
-0.526, 0.732
-0.648, 0.168
-0.301, 0.749
-0.639, 0.400
-0.493, 0.784
-0.281, 0.342
-0.250, 0.366
-0.455, 0.271
-0.313, 0.275
-0.317, 0.525
-0.523, -0.012
-0.498, 0.178
-0.271, 0.334
-0.007, 0.428
-0.258, -0.065
-0.945, -0.345
-0.469, -0.013
-0.463, 0.345
-0.214, 0.621
-0.316, 0.592
-0.174, 0.777
-0.238, 0.884
-0.391, 0.740
-0.268, 1.011
-0.242, 1.045
-0.203, 0.949
0.061, 0.869
-0.163, 1.187
-0.337, 1.016
-0.307, 0.654
-0.212, 0.583
-0.379, 0.787
-0.359, 0.783
-0.310, 0.681
-0.294, 0.291
-0.451, 0.817
-0.230, 0.687
-0.271, 0.573
-0.329, 0.537
-0.392, 0.527
-0.599, -0.031
-0.414, 0.388
-0.354, 0.650
-0.594, 0.671
-0.408, 0.797
-0.081, 0.895
-0.105, 0.739
-0.574, 0.130
-0.505, 0.375
-0.737, 0.112
-0.767, 0.248
-0.448, 0.198
-0.641, 0.614
-0.319, 0.642
-0.168, 0.655
-0.262, 0.357
-0.354, 0.781
-0.715, 0.593
-0.734, 0.701
-0.562, 0.408
-0.445, 0.650
-0.714, 0.440
-0.417, 0.920
-0.490, 0.908
-0.524, 0.652
-0.479, 0.933
-0.162, 0.824
-0.150, 0.430
-0.411, 0.523
-0.108, 0.608
-0.123, 0.769
-0.074, 0.846
-0.201, 0.468
-0.296, 0.637
-0.305, 0.398
-0.069, 0.504
-0.352, 0.359
-0.283, 0.220
-0.282, 0.385
-0.117, 0.415
-0.301, 0.335
-0.334, 0.699
-0.360, 0.401
-0.101, 0.563
-0.026, 1.007
0.042, 0.780
-0.049, 0.583
-0.061, 0.595
-0.152, 0.545
0.103, 0.857
-0.096, 0.708
-0.055, 0.671
0.201, 0.873
-0.289, 0.455
-0.240, 0.516
-0.034, 0.432
-0.226, 0.534
-0.054, 0.537
0.042, 0.786
-0.056, 1.020
-0.104, 0.693
-0.260, 0.532
-0.315, 0.501
-0.341, -0.094
0.095, 0.216
-0.087, 0.432
-0.203, -0.024
-0.008, 0.343
0.112, 0.349
0.010, 0.401
-0.170, 0.480
-0.089, 0.402
-0.072, 0.085
0.130, 0.454
0.042, 0.472
-0.002, 0.396
0.026, 0.638
0.064, 0.603
-0.231, 0.155
0.015, 0.327
0.142, 0.505
0.210, 0.404
0.016, 0.565
-0.034, 0.229
-0.127, 0.476
-0.263, 0.265
-0.330, 0.258
-0.347, 0.045
-0.473, 0.013
-0.437, 0.021
-0.214, -0.258
-0.182, 0.152
0.010, 0.593
-0.047, 0.336
-0.018, 0.468
0.032, 0.830
-0.143, 0.581
-0.014, 1.146
