projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-0.193, -0.529
0.732, 0.062
0.655, -0.254
0.733, -0.519
0.804, -0.457
0.783, -1.105
0.807, -0.776
0.856, -0.777
1.055, -0.837
1.028, -0.260
0.665, -0.766
0.896, -0.751
0.592, -0.919
0.459, -0.662
0.670, -1.004
0.437, -0.443
0.979, -0.707
1.042, -0.700
0.642, -0.790
0.610, -0.298
0.809, -0.799
0.802, -0.487
0.608, -0.472
0.693, -0.908
0.706, -0.456
0.800, -0.804
0.945, -0.946
0.825, -0.453
0.806, -0.842
0.932, -0.712
0.762, -0.625
0.696, -0.540
1.052, -0.498
0.712, -0.402
0.666, -0.484
0.944, -0.600
0.818, -0.655
0.810, -0.628
0.883, -0.855
1.012, -0.458
0.902, -0.401
0.609, 0.174
0.865, 0.094
0.502, -0.289
0.869, -0.296
0.689, -0.774
0.877, -0.285
0.981, -0.125
0.643, -0.189
0.817, -0.134
0.758, -0.415
0.924, -0.072
0.709, -0.607
0.717, -0.674
0.565, -0.321
0.666, -0.164
0.838, -0.514
0.729, -0.540
1.142, -0.640
0.770, -0.703
1.106, -0.181
0.827, -0.715
0.817, -0.142
1.041, -0.250
0.690, -0.365
0.942, -0.487
0.679, -0.074
0.756, -0.535
0.592, -0.578
0.640, -0.627
0.882, -0.782
0.800, -1.047
0.909, -0.943
0.683, -0.515
0.823, -1.044
0.766, -0.884
0.692, -0.636
0.675, -0.966
0.733, -0.524
0.960, -0.405
0.973, -0.175
0.844, -0.242
0.673, -0.252
0.716, -0.219
0.649, -0.636
0.653, -0.744
0.666, -0.732
0.927, -1.023
0.754, -1.200
0.870, -0.836
0.721, -0.048
0.715, -0.528
0.762, -0.633
0.965, -0.578
0.826, -0.647
0.553, -0.500
0.663, -0.944
0.556, -1.318
0.811, -1.286
0.742, -1.339
0.371, -1.037
0.607, -0.834
0.590, -1.009
0.862, -0.956
0.878, -0.594
0.710, -0.651
0.885, -0.256
1.072, -0.129
1.091, -0.534
0.438, -0.907
0.783, -0.438
0.571, -0.501
0.548, -0.234
0.738, -0.760
0.641, -0.453
0.464, -0.751
0.596, -0.908
0.761, -0.588
0.575, -0.262
0.747, -0.614
0.720, -0.656
0.833, -0.401
0.934, -0.529
0.693, -1.031
0.311, -0.978
0.854, -0.647
0.612, -0.890
0.692, -0.724
0.778, -0.640
0.490, -0.757
0.659, -0.562
0.510, -0.953
0.706, -0.676
0.771, -0.442
0.886, -0.420
0.901, -0.805
0.873, -0.901
0.991, -1.156
0.798, -0.703
0.963, -0.220
0.739, -0.306
0.825, -0.983
0.848, -0.766
0.669, -0.899
0.770, -1.073
1.001, -0.792
1.080, -1.392
0.994, -1.082
0.700, -0.983
0.835, -0.939
0.870, -0.697
0.640, -1.210
0.880, -1.314
0.796, -1.187
0.699, -0.967
0.740, -1.255
0.842, -1.028
0.803, -1.407
0.885, -1.476
0.947, -1.357
0.879, -0.786
0.915, -1.245
0.899, -1.693
0.889, -1.510
1.111, -0.874
1.334, -0.751
1.028, -1.067
1.000, -0.677
1.069, -0.670
1.124, -0.959
0.964, -0.539
1.129, -0.660
1.238, -0.718
1.137, -1.380
0.868, -0.930
1.231, -1.322
1.387, -1.351
1.059, -1.296
1.159, -1.285
1.073, -1.407
0.854, -1.055
0.985, -0.535
0.859, -0.366
0.807, -0.992
0.682, -0.702
0.661, -0.338
0.732, -0.882
0.553, -0.660
0.809, -0.958
0.836, -0.905
0.796, -0.699
0.730, -0.495
0.958, -0.602
0.828, -0.679
0.945, -0.344
0.448, -0.093
0.856, -0.665
0.766, -0.487
0.724, -0.227
0.939, -0.365
0.999, -0.793
0.727, -0.244
0.865, -0.192
0.581, -0.076
0.826, -0.281
0.901, -0.429
0.730, -0.669
0.622, -1.068
0.516, -0.394
0.791, -0.342
0.726, -0.499
0.704, -0.479
0.921, -1.034
0.879, -0.741
0.753, -0.553
0.649, -0.479
0.595, 0.121
0.892, -0.348
0.704, -0.208
0.379, -0.773
0.833, -0.809
0.611, -0.632
0.568, -0.766
0.350, -0.413
0.366, -0.533
0.307, -0.423
0.772, -0.689
0.630, -0.188
0.297, -0.842
0.610, -0.626
0.452, -0.382
0.312, -0.650
0.445, -0.520
0.374, -0.774
0.500, -0.103
0.675, -0.570
0.452, -0.715
0.559, -0.547
0.623, 0.202
0.369, 0.106
0.875, -0.093
0.313, 0.043
0.461, 0.102
0.358, -0.795
0.476, -1.182
0.436, -0.645
0.611, -0.561
0.640, -0.536
0.785, -0.796
0.463, -0.714
0.556, -0.611
0.676, -0.889
0.929, -1.366
0.539, -0.949
0.590, -0.623
0.562, -1.108
0.740, -0.852
0.629, -0.250
0.591, -0.777
0.379, -0.711
0.820, -0.629
0.599, -0.346
0.697, -0.777
0.688, -0.759
0.566, -0.659
0.529, -1.139
0.691, -0.556
0.723, -0.946
0.735, -0.865
1.156, -1.075
0.729, -0.468
0.979, -0.347
0.840, -0.871
0.746, -0.918
0.502, -1.132
0.683, -0.967
0.652, -1.516
0.871, -1.345
0.967, -1.497
0.789, -1.398
0.710, -0.625
0.537, -0.545
0.493, -0.927
0.992, -1.658
0.771, -1.554
0.743, -1.296
0.582, -0.904
0.542, -0.944
0.502, -0.770
0.890, -1.658
0.805, -1.300
0.638, -0.807
0.654, -0.944
0.801, -0.614
0.376, -0.473
0.713, -0.705
0.373, -0.671
0.584, -0.543
0.521, -0.800
0.496, -0.931
0.436, -0.166
0.592, -0.757
0.787, -0.794
0.523, -0.208
0.251, -0.364
0.465, -0.437
0.556, -0.200
0.772, -0.850
0.676, -0.770
0.569, -0.831
0.646, -0.770
0.369, -0.406
0.298, -1.015
0.398, -1.286
0.402, -1.185
0.457, -0.544
0.692, -0.449
0.505, -0.507
0.699, -0.185
0.867, -0.824
1.067, -0.869
1.086, -0.684
0.778, -0.660
1.001, -0.300
0.743, -0.488
0.814, -0.744
0.967, -1.067
0.881, -0.873
0.821, -0.930
0.715, -0.504
0.705, -0.994
0.708, -0.621
0.739, -0.724
0.869, -0.372
0.818, -0.703
0.897, -0.638
0.818, -0.654
0.811, -0.365
0.778, -0.453
0.797, -0.658
0.894, -1.074
0.908, -1.295
0.700, -0.645
0.738, -0.750
0.510, -0.771
0.553, -0.302
0.637, -0.178
0.650, -0.556
0.585, -0.518
0.744, -0.852
0.792, -0.858
0.688, -0.196
0.601, -0.607
0.788, -1.075
0.694, -0.627
0.630, -0.630
0.477, -0.469
0.648, -0.421
0.685, -0.560
0.778, -0.855
0.788, -1.145
0.584, -0.752
0.275, -0.152
0.254, -0.077
0.573, -0.137
0.531, -0.909
0.636, -0.602
0.503, -0.901
0.470, -0.710
0.572, -0.884
0.458, -0.443
0.746, -0.615
0.640, -0.720
0.539, -0.460
0.600, -0.823
0.511, -0.809
0.761, -0.678
0.520, -0.975
0.735, -1.027
0.452, -0.947
0.751, -0.566
0.658, -0.588
0.814, -0.606
0.414, -0.425
0.277, -0.113
0.404, -0.673
0.421, -0.487
0.495, -0.222
0.473, -0.323
0.511, -0.615
0.623, -0.147
0.554, -0.302
0.491, -0.539
0.672, -0.417
0.576, -0.219
0.554, 0.156
0.639, -0.554
0.559, 0.172
0.563, -0.138
