Time (ps), RMSD (nm)
0.000, 0.001
0.100, 0.117
0.200, 0.120
0.300, 0.121
0.400, 0.119
0.500, 0.122
0.600, 0.113
0.700, 0.110
0.800, 0.111
0.900, 0.116
1.000, 0.112
1.100, 0.111
1.200, 0.122
1.300, 0.114
1.400, 0.115
1.500, 0.119
1.600, 0.115
1.700, 0.113
1.800, 0.119
1.900, 0.113
2.000, 0.121
2.100, 0.122
2.200, 0.118
2.300, 0.123
2.400, 0.116
2.500, 0.124
2.600, 0.120
2.700, 0.126
2.800, 0.132
2.900, 0.128
3.000, 0.126
3.100, 0.122
3.200, 0.125
3.300, 0.123
3.400, 0.122
3.500, 0.125
3.600, 0.127
3.700, 0.131
3.800, 0.127
3.900, 0.130
4.000, 0.118
4.100, 0.119
4.200, 0.118
4.300, 0.120
4.400, 0.108
4.500, 0.118
4.600, 0.120
4.700, 0.120
4.800, 0.117
4.900, 0.106
5.000, 0.115
5.100, 0.112
5.200, 0.118
5.300, 0.122
5.400, 0.118
5.500, 0.114
5.600, 0.124
5.700, 0.121
5.800, 0.117
5.900, 0.120
6.000, 0.116
6.100, 0.122
6.200, 0.121
6.300, 0.126
6.400, 0.124
6.500, 0.127
6.600, 0.123
6.700, 0.115
6.800, 0.127
6.900, 0.116
7.000, 0.107
7.100, 0.110
7.200, 0.121
7.300, 0.108
7.400, 0.121
7.500, 0.112
7.600, 0.117
7.700, 0.118
7.800, 0.120
7.900, 0.133
8.000, 0.115
8.100, 0.115
8.200, 0.117
8.300, 0.113
8.400, 0.112
8.500, 0.110
8.600, 0.112
8.700, 0.107
8.800, 0.111
8.900, 0.111
9.000, 0.115
9.100, 0.120
9.200, 0.130
9.300, 0.121
9.400, 0.127
9.500, 0.115
9.600, 0.126
9.700, 0.113
9.800, 0.112
9.900, 0.106
10.000, 0.119
10.100, 0.119
10.200, 0.104
10.300, 0.103
10.400, 0.106
10.500, 0.115
10.600, 0.106
10.700, 0.105
10.800, 0.110
10.900, 0.110
11.000, 0.113
11.100, 0.107
11.200, 0.108
11.300, 0.106
11.400, 0.103
11.500, 0.114
11.600, 0.113
11.700, 0.114
11.800, 0.112
11.900, 0.107
12.000, 0.107
12.100, 0.107
12.200, 0.108
12.300, 0.115
12.400, 0.108
12.500, 0.114
12.600, 0.113
12.700, 0.115
12.800, 0.115
12.900, 0.105
13.000, 0.108
13.100, 0.120
13.200, 0.105
13.300, 0.111
13.400, 0.105
13.500, 0.108
13.600, 0.113
13.700, 0.113
13.800, 0.108
13.900, 0.109
14.000, 0.115
14.100, 0.117
14.200, 0.111
14.300, 0.107
14.400, 0.113
14.500, 0.113
14.600, 0.114
14.700, 0.112
14.800, 0.110
14.900, 0.117
15.000, 0.118
15.100, 0.116
15.200, 0.115
15.300, 0.117
15.400, 0.121
15.500, 0.118
15.600, 0.114
15.700, 0.116
15.800, 0.112
15.900, 0.120
16.000, 0.117
16.100, 0.115
16.200, 0.121
16.300, 0.126
16.400, 0.121
16.500, 0.116
16.600, 0.119
16.700, 0.122
16.800, 0.117
16.900, 0.119
17.000, 0.114
17.100, 0.115
17.200, 0.113
17.300, 0.118
17.400, 0.113
17.500, 0.117
17.600, 0.119
17.700, 0.119
17.800, 0.120
17.900, 0.124
