Time (ps), RMSD (nm)
0.000, 0.001
0.100, 0.104
0.200, 0.127
0.300, 0.108
0.400, 0.125
0.500, 0.116
0.600, 0.125
0.700, 0.108
0.800, 0.123
0.900, 0.115
1.000, 0.117
1.100, 0.116
1.200, 0.110
1.300, 0.106
1.400, 0.106
1.500, 0.117
1.600, 0.120
1.700, 0.107
1.800, 0.106
1.900, 0.101
2.000, 0.103
2.100, 0.105
2.200, 0.102
2.300, 0.110
2.400, 0.115
2.500, 0.101
2.600, 0.108
2.700, 0.101
2.800, 0.093
2.900, 0.101
3.000, 0.098
3.100, 0.103
3.200, 0.097
3.300, 0.086
3.400, 0.077
3.500, 0.097
3.600, 0.091
3.700, 0.087
3.800, 0.078
3.900, 0.091
4.000, 0.085
4.100, 0.083
4.200, 0.088
4.300, 0.088
4.400, 0.079
4.500, 0.096
4.600, 0.085
4.700, 0.087
4.800, 0.081
4.900, 0.079
5.000, 0.071
5.100, 0.073
5.200, 0.077
5.300, 0.075
5.400, 0.077
5.500, 0.088
5.600, 0.083
5.700, 0.076
5.800, 0.078
5.900, 0.085
6.000, 0.077
6.100, 0.078
6.200, 0.080
6.300, 0.072
6.400, 0.080
6.500, 0.080
6.600, 0.082
6.700, 0.080
6.800, 0.084
6.900, 0.095
7.000, 0.094
7.100, 0.088
7.200, 0.087
7.300, 0.081
7.400, 0.082
7.500, 0.093
7.600, 0.082
7.700, 0.078
7.800, 0.080
7.900, 0.086
8.000, 0.074
8.100, 0.089
8.200, 0.083
8.300, 0.079
8.400, 0.085
8.500, 0.090
8.600, 0.087
8.700, 0.081
8.800, 0.078
8.900, 0.081
9.000, 0.075
9.100, 0.084
9.200, 0.077
9.300, 0.079
9.400, 0.084
9.500, 0.084
9.600, 0.084
9.700, 0.084
9.800, 0.081
9.900, 0.082
10.000, 0.098
10.100, 0.091
10.200, 0.089
10.300, 0.087
10.400, 0.097
10.500, 0.079
10.600, 0.082
10.700, 0.088
10.800, 0.086
10.900, 0.087
11.000, 0.086
11.100, 0.083
11.200, 0.087
11.300, 0.080
11.400, 0.082
11.500, 0.081
11.600, 0.082
11.700, 0.079
11.800, 0.085
11.900, 0.077
12.000, 0.078
12.100, 0.085
12.200, 0.080
12.300, 0.096
12.400, 0.091
12.500, 0.087
12.600, 0.087
12.700, 0.089
12.800, 0.089
12.900, 0.084
13.000, 0.090
13.100, 0.094
13.200, 0.090
13.300, 0.089
13.400, 0.094
13.500, 0.088
13.600, 0.095
13.700, 0.086
13.800, 0.092
13.900, 0.091
14.000, 0.082
14.100, 0.084
14.200, 0.085
14.300, 0.089
14.400, 0.092
14.500, 0.083
14.600, 0.079
14.700, 0.098
14.800, 0.085
14.900, 0.092
15.000, 0.099
15.100, 0.086
15.200, 0.083
15.300, 0.079
15.400, 0.075
15.500, 0.076
15.600, 0.079
15.700, 0.083
15.800, 0.083
15.900, 0.087
16.000, 0.083
16.100, 0.085
16.200, 0.085
16.300, 0.089
16.400, 0.081
16.500, 0.087
16.600, 0.073
16.700, 0.072
16.800, 0.076
16.900, 0.085
17.000, 0.086
17.100, 0.086
17.200, 0.090
17.300, 0.088
17.400, 0.079
17.500, 0.078
17.600, 0.082
17.700, 0.080
17.800, 0.078
17.900, 0.069
18.000, 0.079
18.100, 0.076
18.200, 0.078
18.300, 0.085
18.400, 0.087
18.500, 0.085
18.600, 0.085
18.700, 0.079
18.800, 0.075
18.900, 0.093
19.000, 0.080
19.100, 0.080
19.200, 0.087
19.300, 0.085
19.400, 0.084
19.500, 0.093
19.600, 0.081
19.700, 0.085
19.800, 0.086
19.900, 0.081
20.000, 0.085
20.100, 0.104
20.200, 0.080
20.300, 0.084
20.400, 0.085
20.500, 0.080
20.600, 0.083
20.700, 0.083
20.800, 0.077
20.900, 0.085
21.000, 0.086
21.100, 0.086
21.200, 0.084
21.300, 0.081
21.400, 0.088
21.500, 0.090
21.600, 0.093
21.700, 0.088
21.800, 0.084
21.900, 0.093
22.000, 0.089
22.100, 0.073
22.200, 0.080
22.300, 0.084
22.400, 0.080
22.500, 0.089
22.600, 0.091
22.700, 0.074
22.800, 0.085
22.900, 0.090
23.000, 0.085
23.100, 0.081
23.200, 0.084
23.300, 0.082
23.400, 0.083
23.500, 0.082
23.600, 0.082
23.700, 0.075
23.800, 0.088
23.900, 0.087
24.000, 0.088
24.100, 0.086
24.200, 0.072
24.300, 0.091
24.400, 0.075
24.500, 0.080
24.600, 0.079
24.700, 0.083
24.800, 0.076
24.900, 0.073
25.000, 0.078
25.100, 0.084
25.200, 0.076
25.300, 0.079
25.400, 0.082
25.500, 0.087
25.600, 0.084
25.700, 0.088
25.800, 0.085
25.900, 0.090
26.000, 0.092
26.100, 0.089
26.200, 0.079
26.300, 0.085
26.400, 0.083
26.500, 0.077
26.600, 0.076
26.700, 0.083
26.800, 0.079
26.900, 0.086
27.000, 0.088
27.100, 0.096
27.200, 0.082
27.300, 0.088
27.400, 0.083
27.500, 0.090
27.600, 0.089
27.700, 0.080
27.800, 0.074
27.900, 0.085
28.000, 0.080
28.100, 0.085
28.200, 0.089
28.300, 0.083
28.400, 0.088
28.500, 0.085
28.600, 0.087
28.700, 0.093
28.800, 0.095
28.900, 0.080
29.000, 0.083
29.100, 0.091
29.200, 0.083
29.300, 0.083
29.400, 0.083
29.500, 0.083
