Time (ns),ORF2,ORF2,ORF2_nomn,ORF2_nomn
0,1.64395,1.64657,1.63563,1.64759
0.1,1.64811,1.64894,1.63709,1.63697
0.2,1.6437,1.64764,1.64176,1.62965
0.3,1.64584,1.64275,1.63646,1.64441
0.4,1.64482,1.64844,1.64355,1.64326
0.5,1.65043,1.65491,1.63863,1.64265
0.6,1.64885,1.65319,1.64589,1.6386
0.7,1.64113,1.64923,1.64489,1.64391
0.8,1.64497,1.64642,1.6451,1.64185
0.9,1.64222,1.65345,1.64438,1.64381
1,1.64577,1.64471,1.64141,1.64661
1.1,1.65136,1.65211,1.64202,1.64212
1.2,1.63804,1.652,1.64538,1.641
1.3,1.64337,1.65138,1.63851,1.6423
1.4,1.64634,1.64832,1.63311,1.63973
1.5,1.64671,1.6472,1.63379,1.65088
1.6,1.64849,1.65023,1.63441,1.64095
1.7,1.64138,1.65777,1.63485,1.64535
1.8,1.64571,1.64205,1.64672,1.63562
1.9,1.63918,1.64942,1.64919,1.64268
2,1.64388,1.64841,1.63953,1.63902
2.1,1.64317,1.65432,1.64218,1.63976
2.2,1.63874,1.65114,1.64156,1.63568
2.3,1.6393,1.65019,1.64484,1.63941
2.4,1.64513,1.64734,1.64446,1.6444
2.5,1.64901,1.64563,1.64275,1.64299
2.6,1.64223,1.64673,1.6374,1.64422
2.7,1.64052,1.64685,1.63318,1.64253
2.8,1.64007,1.64691,1.63703,1.63674
2.9,1.64314,1.64258,1.63636,1.64971
3,1.64346,1.64592,1.64661,1.64044
3.1,1.63922,1.64773,1.64616,1.63929
3.2,1.64534,1.64848,1.64607,1.63603
3.3,1.64383,1.6473,1.63618,1.63585
3.4,1.64597,1.64355,1.6393,1.63931
3.5,1.64005,1.64466,1.63992,1.63521
3.6,1.63501,1.64522,1.64142,1.63476
3.7,1.64783,1.64629,1.64248,1.63868
3.8,1.64044,1.64559,1.64689,1.63859
3.9,1.64143,1.64763,1.63607,1.63268
4,1.65352,1.63683,1.64216,1.6386
4.1,1.64585,1.64074,1.64512,1.64273
4.2,1.64356,1.64777,1.64232,1.6426
4.3,1.64462,1.64872,1.64571,1.64096
4.4,1.64583,1.6466,1.63723,1.63958
4.5,1.6447,1.64335,1.6432,1.63951
4.6,1.63768,1.64102,1.64465,1.64028
4.7,1.64444,1.64922,1.64324,1.64255
4.8,1.64309,1.64693,1.64476,1.64224
4.9,1.64647,1.64476,1.64318,1.63925
5,1.64541,1.64413,1.64456,1.64166
5.1,1.64282,1.64791,1.64184,1.63619
5.2,1.6414,1.64444,1.64301,1.63922
5.3,1.64263,1.64684,1.64896,1.63959
5.4,1.63871,1.64798,1.63916,1.6357
5.5,1.6457,1.6443,1.6464,1.64506
5.6,1.64729,1.65001,1.64622,1.64821
5.7,1.64103,1.64441,1.64162,1.64159
5.8,1.64103,1.64613,1.63918,1.6439
5.9,1.63604,1.64891,1.64326,1.64024
6,1.64572,1.64394,1.63835,1.63508
6.1,1.6435,1.6432,1.63786,1.63888
6.2,1.64452,1.64582,1.63466,1.64022
6.3,1.64153,1.64307,1.63501,1.64841
6.4,1.63807,1.64427,1.63399,1.64167
6.5,1.63887,1.64426,1.6365,1.63923
6.6,1.64269,1.63977,1.64436,1.64076
6.7,1.63807,1.65113,1.64552,1.64215
6.8,1.64124,1.64797,1.6402,1.64139
6.9,1.6437,1.64584,1.64533,1.65217
7,1.64537,1.65345,1.64329,1.6424
7.1,1.64951,1.64269,1.64647,1.64489
7.2,1.64586,1.64246,1.64335,1.64003
7.3,1.65119,1.64474,1.64316,1.63763
7.4,1.6486,1.64643,1.63532,1.64037
7.5,1.6494,1.6406,1.63919,1.64004
7.6,1.65146,1.64582,1.63728,1.64136
7.7,1.64163,1.63871,1.64066,1.64112
7.8,1.64462,1.64816,1.63823,1.64158
7.9,1.64261,1.64996,1.63996,1.63285
8,1.64882,1.64556,1.63844,1.63908
8.1,1.64578,1.64151,1.64288,1.64082
8.2,1.64502,1.64726,1.64352,1.63342
8.3,1.64251,1.64782,1.63888,1.63238
